number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
33,7.702411290712876,2025-10-15 14:50:05.746453,2025-10-15 14:50:06.056513,0 days 00:00:00.310060,0.0009945556840825593,0.9202694747785678,0.14456187515898158,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
34,33.194953037603625,2025-10-15 14:50:06.057441,2025-10-15 14:50:06.418050,0 days 00:00:00.360609,0.0038364150186191086,0.2888805332344143,0.5624646678532733,False,26,0.17959820619052314,2576606.7037939546,0.11538461538461539,0.11538461538461539,0.11538461538461539,COMPLETE
35,11.877868413837776,2025-10-15 14:50:06.418874,2025-10-15 14:50:06.788038,0 days 00:00:00.369164,0.03381177152383052,0.5063166491716194,0.32039237557244943,True,27,0.02060731799632609,3075633.474786577,0.8518518518518519,0.8518518518518519,0.8518518518518519,COMPLETE
36,23.923016071869945,2025-10-15 14:50:06.788963,2025-10-15 14:50:06.947383,0 days 00:00:00.158420,0.0027060769111988715,0.02052447999033456,0.108644413749255,False,14,0.14220166673175005,2693800.8021399705,0.0,0.0,0.0,COMPLETE
37,14.588777473857384,2025-10-15 14:50:06.948281,2025-10-15 14:50:07.294113,0 days 00:00:00.345832,0.007398515665034275,0.05698581519024479,0.5651352119267025,True,25,0.05936844906478367,2953969.2936107474,0.76,0.76,0.76,COMPLETE
38,11.066703903036125,2025-10-15 14:50:07.295010,2025-10-15 14:50:07.391542,0 days 00:00:00.096532,0.0014156313951346191,0.19324693679480404,0.945112740519758,False,6,0.026256923758714024,3057923.6961246836,0.5,0.5,0.5,COMPLETE
39,7.702411290712876,2025-10-15 14:50:07.392359,2025-10-15 14:50:07.780426,0 days 00:00:00.388067,0.013918970121871436,0.5945357193954297,0.059077682475768556,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
40,30.53716243996929,2025-10-15 14:50:07.781334,2025-10-15 14:50:08.061882,0 days 00:00:00.280548,0.0004114412157967232,0.12712036134256907,0.23762634780232547,False,20,0.18553870450376708,2557786.6010510637,0.0,0.0,0.0,COMPLETE
41,7.702411290712876,2025-10-15 14:50:08.062816,2025-10-15 14:50:08.558203,0 days 00:00:00.495387,0.01392646946320707,0.6442648339007867,0.0002690793124588626,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
42,7.702411290712876,2025-10-15 14:50:08.559127,2025-10-15 14:50:08.951056,0 days 00:00:00.391929,0.054123079865322186,0.8726317095919451,0.00011458422209579283,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
43,12.089143480743413,2025-10-15 14:50:08.951983,2025-10-15 14:50:09.318266,0 days 00:00:00.366283,0.1160789381682145,0.3516872326378421,0.0012671298290049629,True,27,0.030749919469698517,3043794.8131517908,0.8518518518518519,0.8518518518518519,0.8518518518518519,COMPLETE
44,20.0567168822205,2025-10-15 14:50:09.319178,2025-10-15 14:50:09.727360,0 days 00:00:00.408182,0.02146620338378346,0.2450386714094701,0.00541912112655133,True,30,0.09555557209134691,2840267.3603398814,0.6333333333333333,0.6333333333333333,0.6333333333333333,COMPLETE
45,13.891073846313365,2025-10-15 14:50:09.728284,2025-10-15 14:50:10.056017,0 days 00:00:00.327733,0.011955770427101041,0.5365962012017482,0.0001100002711964987,True,24,0.027157490867582457,3055043.3165303953,0.75,0.75,0.75,COMPLETE
46,13.512796900821591,2025-10-15 14:50:10.056942,2025-10-15 14:50:10.221484,0 days 00:00:00.164542,0.00568207766416622,0.002394739752960539,0.0011983161343563638,True,15,0.05286337140445474,2974309.44946819,0.6666666666666666,0.6666666666666666,0.6666666666666666,COMPLETE
47,14.385280823465715,2025-10-15 14:50:10.222401,2025-10-15 14:50:10.599297,0 days 00:00:00.376896,0.00019297355872959033,0.287194512068423,0.16492015572273577,True,28,0.05006461846533361,2983119.8222261895,0.7857142857142857,0.7857142857142857,0.7857142857142857,COMPLETE
48,14.589433024362094,2025-10-15 14:50:10.600217,2025-10-15 14:50:10.942841,0 days 00:00:00.342624,0.000987509378450424,0.06361176702246522,0.5108648506283376,True,25,0.05935932144005618,2953986.237310403,0.76,0.76,0.76,COMPLETE
49,7.702411290712876,2025-10-15 14:50:10.943760,2025-10-15 14:50:11.257866,0 days 00:00:00.314106,0.0031868229082082943,0.7060511236142365,0.031164014938860073,False,23,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
