,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_779,1432.37511379189,0.350133466728276,0.206557014221676,0,1,1
Cluster_780,1135.07043898599,0.397392485871822,0.188050861829329,0,1,1
Cluster_781,33.9333890726081,0.486052143121558,0.203962030458212,0,1,1
Cluster_782,86.510460965349,0.744931858613172,0.528058945072472,0,1,1
Cluster_783,118.119093022175,1.0441204218426,0.428480564754084,0.102969482099904,0.917987191932452,1
Cluster_784,19.4204654887849,-0.0891514820433901,0.669693791453254,0,1,1
Cluster_785,745.282881624121,0.602227314794439,0.264001415206059,0,1,1
Cluster_786,51.3640312942821,0.372823417387321,0.19619901204715,0,1,1
Cluster_787,167.053949427273,0.529495989467295,0.197404656713412,0,1,1
Cluster_788,48.1211104988228,-0.0298265292989117,0.345331667030062,0,1,1
Cluster_789,83.4617953932007,-0.162098384719548,0.219691428374192,0,1,1
Cluster_790,2633.01278215294,0.51598023596389,0.238730316400024,0,1,1
Cluster_791,225.330119694569,0.30837741606916,0.204828001455866,0,1,1
Cluster_792,1294.8275537037,0.376925737702076,0.187527994536711,0,1,1
Cluster_793,1176.69480446092,0.346938882399816,0.279051006850277,0,1,1
Cluster_794,50.8205916547828,0.614640425389062,0.45293659226057,0,1,1
Cluster_795,79.3441364344403,0.425777304727448,0.269475855922354,0,1,1
Cluster_796,672.254384431386,0.453671195240744,0.24120851922659,0,1,1
Cluster_797,205.034504140134,-0.0488274929652731,0.151900758073921,0,1,1
Cluster_798,417.596112671798,0.252662860814958,0.199017583767576,0,1,1
Cluster_799,16732.6335702516,-0.0377560799046666,0.207169904853317,0,1,1
Cluster_800,66.1823958174802,0.904564053008761,0.336078970475835,0,1,1
Cluster_801,614.006312121548,0.380546879325067,0.390413477602216,0,1,1
Cluster_802,26.4572361807631,0.590486759332327,0.259198621426046,0,1,1
Cluster_803,2622.27063741599,0.494464282697521,0.200678558408049,0,1,1
Cluster_804,129.588906351894,0.111714749330292,0.860417512672991,0,1,1
Cluster_805,161.599206598913,1.84516145872076,0.81215879588084,1.04063572666738,0.298044643496757,1
Cluster_806,268.959214853926,0.0108383456388948,0.189201699764712,0,1,1
Cluster_807,81.96303151198,0.538830303730071,0.500224252092879,0,1,1
Cluster_808,67.9561628035041,0.698769465467418,0.526224368907959,0,1,1
Cluster_809,27.9259852241275,0.25626467227626,0.770059188253178,0,1,1
Cluster_810,206.280387172221,0.229337893420853,0.919125822095087,0,1,1
Cluster_811,182.85157785703,0.24803972419563,0.152470716140672,0,1,1
Cluster_812,85.787511545153,0.523792775884122,0.162566542199583,0,1,1
Cluster_813,45.5349230634272,0.383802329650111,0.212026915395078,0,1,1
Cluster_814,24.676535509401,0.557213627487087,0.295410153496961,0,1,1
Cluster_815,35.9735714963989,0.161793608850329,0.227242644112555,0,1,1
Cluster_816,138.919236116096,0.213433721507701,0.324106383293379,0,1,1
Cluster_817,419.020415756469,-0.416113718441891,0.420690660290598,0,1,1
Cluster_818,83.8493760022404,0.271095186284224,0.449012337691846,0,1,1
