"miRNA","Gene","Correlation","P_value"
"Cluster_12087","FUN_034693",0.739560217458363,4.99363250543845e-08
"Cluster_12081","FUN_034711",0.781453212135165,2.66481901423819e-09
"Cluster_12083","FUN_034711",0.795795798446003,8.40263474392857e-10
"Cluster_12087","FUN_034711",0.751460372661735,2.30350901113282e-08
"Cluster_1865","FUN_035137",0.758585257763474,1.4194381816493e-08
"Cluster_1865","FUN_035150",0.713830521507364,2.32764080446614e-07
"Cluster_1865","FUN_035353",0.702806092357255,4.28286302792648e-07
"Cluster_1865","FUN_035578",0.703786037151687,4.06142171737572e-07
"Cluster_1865","FUN_035812",0.700104296137218,4.95254272064061e-07
"Cluster_3109","FUN_036542",0.748868116289232,2.73630386616114e-08
"Cluster_14605","FUN_036817",0.70744323313294,3.32514846122385e-07
"Cluster_12081","FUN_036944",0.749440291852461,2.63473663848868e-08
"Cluster_12083","FUN_036944",0.792911542839007,1.0674432299911e-09
"Cluster_12087","FUN_036944",0.803456552408897,4.36686989321972e-10
"Cluster_12081","FUN_036952",0.709526611241033,2.96304637065176e-07
"Cluster_12083","FUN_036952",0.736124502015771,6.19582197072449e-08
"Cluster_12087","FUN_036952",0.735968269624853,6.25640462699074e-08
"Cluster_3109","FUN_037109",0.708084332991088,3.20958208494125e-07
"Cluster_1865","FUN_037123",0.732483565623078,7.75932276455295e-08
"Cluster_1865","FUN_037145",0.761371129851744,1.16933217596753e-08
"Cluster_1865","FUN_037166",0.715473380672041,2.1203332183189e-07
"Cluster_9706","FUN_037365",0.734180926413851,6.98975396920612e-08
"Cluster_14532","FUN_037502",0.755261023100628,1.78281157743581e-08
"Cluster_17623","FUN_037502",0.707680874210699,3.28186889407265e-07
"Cluster_3227","FUN_037561",-0.746521917422788,3.19205600743864e-08
"Cluster_2372","FUN_037711",0.707629208947198,3.29123366833088e-07
"Cluster_1865","FUN_037896",0.72924730328849,9.44884915666679e-08
"Cluster_5516","FUN_037902",0.702931775580057,4.25385086832004e-07
"Cluster_13327","FUN_037903",0.749409894413377,2.64004309696093e-08
"Cluster_14532","FUN_038003",0.707992971811287,3.22582081345411e-07
"Cluster_17192","FUN_038101",0.739374033722266,5.05277999803795e-08
"Cluster_3301","FUN_038197",0.721080506137817,1.53462061061073e-07
"Cluster_12081","FUN_038244",0.715224644051024,2.15058082592547e-07
"Cluster_3109","FUN_038366",0.708818664586348,3.08178143261835e-07
"Cluster_1865","FUN_038642",0.712082016522836,2.56878584254205e-07
"Cluster_1865","FUN_038657",0.782509821230091,2.45486470144006e-09
"Cluster_3109","FUN_038657",0.708636008692897,3.11312259012969e-07
"Cluster_2372","FUN_038804",-0.703470098494668,4.13163113447557e-07
"Cluster_1865","FUN_039010",0.722520390058535,1.41059531152159e-07
"Cluster_12081","FUN_039206",0.891534301066253,1.21988361013333e-14
"Cluster_12083","FUN_039206",0.834557575034812,2.21057933666014e-11
"Cluster_12087","FUN_039206",0.797201576501496,7.46725038508605e-10
"Cluster_1865","FUN_039336",0.707617956570163,3.29327653479893e-07
"Cluster_3109","FUN_039336",0.709435168266372,2.97814115461754e-07
"Cluster_1865","FUN_039408",0.703466515335837,4.13243379924585e-07
"Cluster_3109","FUN_039408",0.739062975115165,5.15305191313118e-08
"Cluster_1865","FUN_039381",0.700909685179345,4.7434306706731e-07
"Cluster_3109","FUN_039381",0.750302180758346,2.4883408484815e-08
"Cluster_12081","FUN_039480",0.869128077487447,3.53087051240731e-13
"Cluster_12083","FUN_039480",0.873635097693977,1.89003975323506e-13
"Cluster_12087","FUN_039480",0.868949810170625,3.61751578151115e-13
"Cluster_12081","FUN_039481",0.826669335072531,4.9788777744005e-11
"Cluster_12083","FUN_039481",0.753756252144528,1.97425785663489e-08
"Cluster_12087","FUN_039481",0.707759525383352,3.26766001657995e-07
"Cluster_2746","FUN_039690",0.758670093622881,1.41113853281815e-08
"Cluster_12081","FUN_039690",0.849805683111012,4.05133553871407e-12
"Cluster_12083","FUN_039690",0.857441984455229,1.61208216620739e-12
"Cluster_12087","FUN_039690",0.820976804419751,8.72593435698658e-11
"Cluster_2372","FUN_039878",0.710001127323363,2.8858471654641e-07
"Cluster_12081","FUN_039919",0.754316829103719,1.90080695317897e-08
"Cluster_12083","FUN_039919",0.741968638911008,4.28427041863393e-08
"Cluster_12087","FUN_039919",0.745102839789952,3.50097139748284e-08
"Cluster_1865","FUN_039958",0.703274256877925,4.17571375066872e-07
"Cluster_3109","FUN_040020",0.703927180487053,4.03041414341633e-07
"Cluster_1865","FUN_040053",0.707534644750427,3.30843831682149e-07
"Cluster_3109","FUN_040053",0.777876449375279,3.50652429300201e-09
"Cluster_1865","FUN_040185",0.750544036490909,2.44864103422544e-08
"Cluster_3109","FUN_040234",0.770909726471632,5.90081783401028e-09
"Cluster_1832","FUN_040390",0.710432740643899,2.81724880190334e-07
"Cluster_5516","FUN_040390",0.70392490020614,4.03091335019894e-07
"Cluster_12083","FUN_040390",0.723316576155905,1.34607119474766e-07
"Cluster_9786","FUN_040495",0.735980933716185,6.25147342998874e-08
"Cluster_3109","FUN_040516",0.776954678969712,3.76049107058779e-09
"Cluster_14532","FUN_041775",0.704606456577617,3.8842239415347e-07
"Cluster_12081","FUN_042063",0.743456002607516,3.89421364349002e-08
"Cluster_13327","FUN_042208",0.7039043644948,4.03541167445483e-07
"Cluster_1865","FUN_042239",0.731385956516413,8.29806851227764e-08
"Cluster_3109","FUN_042803",0.735434541360876,6.46754371996783e-08
"Cluster_13327","FUN_042900",0.705499530080934,3.69948024792502e-07
"Cluster_12081","FUN_043163",0.794060525467138,9.70821682112756e-10
"Cluster_12083","FUN_043163",0.741644133437435,4.37405876094929e-08
"Cluster_1865","FUN_043226",0.716409942480585,2.00994231890035e-07
"Cluster_15097","FUN_043453",0.732889800398385,7.56829680684364e-08
"Cluster_17245","FUN_043453",0.71177173496675,2.61392135895209e-07
"Cluster_12081","FUN_043462",0.732510857953389,7.74635004344911e-08
"Cluster_12083","FUN_043462",0.777220998917402,3.68540619898326e-09
"Cluster_12087","FUN_043462",0.755505128596204,1.75343454780653e-08
"Cluster_1819","FUN_043464",0.747533248818816,2.98757900614114e-08
"Cluster_3109","FUN_043464",0.725188165069883,1.20501641644678e-07
"Cluster_1865","FUN_001496",0.703188193024737,4.1952233676118e-07
"Cluster_3109","FUN_001496",0.700237704277511,4.9173258824168e-07
"Cluster_1865","FUN_002068",0.738586903754742,5.31010127232764e-08
"Cluster_1865","FUN_015457",0.715182032638587,2.15580250454239e-07
"Cluster_1819","FUN_030025",0.73035705003121,8.83441862192805e-08
"Cluster_3109","FUN_030025",0.781533493108138,2.64829682257151e-09
"Cluster_3109","FUN_032521",0.711573163963469,2.64319084088794e-07
"Cluster_1865","FUN_032673",0.710532441969555,2.80161889081118e-07
"Cluster_12083","FUN_033070",0.734230195832054,6.96851228638727e-08
"Cluster_12087","FUN_033070",0.73704153639908,5.85106312165301e-08
"Cluster_3109","FUN_034362",0.701323627637691,4.6391589500262e-07
"Cluster_1865","FUN_034457",0.724387497357451,1.26359234036943e-07
