"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"ACR.139.TP1"	"ACR.139.TP2"	"ACR.139.TP3"	"ACR.139.TP4"	"ACR.145.TP1"	"ACR.145.TP2"	"ACR.145.TP3"	"ACR.145.TP4"	"ACR.150.TP1"	"ACR.150.TP2"	"ACR.150.TP3"	"ACR.150.TP4"	"ACR.173.TP1"	"ACR.173.TP2"	"ACR.173.TP3"	"ACR.173.TP4"	"ACR.186.TP1"	"ACR.186.TP2"	"ACR.186.TP3"	"ACR.186.TP4"	"ACR.225.TP1"	"ACR.225.TP2"	"ACR.225.TP3"	"ACR.225.TP4"	"ACR.229.TP1"	"ACR.229.TP2"	"ACR.229.TP3"	"ACR.229.TP4"	"ACR.237.TP1"	"ACR.237.TP2"	"ACR.237.TP3"	"ACR.237.TP4"	"ACR.244.TP1"	"ACR.244.TP2"	"ACR.244.TP3"	"ACR.244.TP4"	"ACR.265.TP1"	"ACR.265.TP2"	"ACR.265.TP3"	"ACR.265.TP4"
"lncRNA_2496"	"ptg000027l"	"35854377"	"15525801"	"+"	"  1983"	"   151.50"	"    50.94"	"     0.00"	"     5.50"	"   11.00"	"    53.00"	"   733.00"	"   127.00"	"   177.69"	"    14.00"	"  186.00"	"     2.00"	"   46.71"	"    11.25"	"    41.84"	"   87.91"	"   89.00"	"    51.00"	"    12.48"	"   60.48"	"  7720.00"	"   110.00"	"     5.00"	"    62.00"	"    20.00"	"   480.10"	"     0.00"	"   35.00"	" 1469.00"	"    11.50"	"   531.59"	"     6.00"	"  295.06"	"   420.00"	"   891.14"	"    20.58"	"  346.00"	"    81.33"	"  2562.00"	"    28.69"
"lncRNA_2497"	"ptg000024l"	" 6262361"	"13993821"	"+"	"  1441"	"    40.90"	"    47.00"	"    27.00"	"   645.00"	"   13.00"	"     6.00"	"    37.50"	"  7193.00"	"   746.50"	"     2.30"	"   35.77"	"    65.00"	"  153.00"	"    11.00"	"    17.00"	"    9.18"	"    6.00"	"    45.47"	"    10.00"	"   36.12"	"     5.60"	"   189.00"	"    25.33"	"  1266.64"	"   431.00"	"     2.58"	"    32.50"	"  122.00"	"    8.00"	"    46.67"	"    14.40"	"    13.67"	"  285.00"	"    15.00"	"    58.13"	"    24.68"	"   25.00"	"   123.25"	"   273.50"	"   646.00"
"lncRNA_2498"	"ntLink_8"	" 5421846"	" 2630777"	"+"	"   879"	"    28.67"	"     6.50"	"    64.50"	"   384.00"	"   91.97"	"    20.00"	"    30.45"	"   133.00"	"    10.67"	"     0.00"	"  412.26"	"     0.00"	"  107.00"	"    23.00"	"    74.00"	"   22.33"	"    3.80"	"    32.00"	"    24.25"	"    8.00"	"    19.33"	"    65.00"	"    99.50"	"   168.73"	"    13.98"	"  2122.81"	"   139.18"	"  685.50"	"    5.00"	"    20.27"	"     8.00"	"    25.50"	"   43.00"	"     5.00"	"    49.70"	"    10.47"	"   32.00"	"    23.00"	"    70.50"	"    13.75"
"lncRNA_2501"	"ptg000008l"	" 1086312"	"39104462"	"+"	"   644"	"    19.52"	"   177.08"	"     7.07"	"   340.17"	"  787.93"	"     9.05"	"  1543.00"	"    63.00"	"   223.66"	"    21.00"	"   45.83"	"    71.00"	"    1.00"	"    22.33"	"    65.96"	"  638.50"	"  230.10"	"     6.00"	"    53.00"	"    2.00"	"    10.00"	"    16.14"	"    47.07"	"     3.00"	"   422.50"	"    39.00"	"    79.50"	"   17.50"	"   69.00"	"    35.00"	"    10.00"	"   197.42"	"  637.00"	"   100.67"	"   385.00"	"    16.42"	"   97.50"	"   155.50"	"    38.25"	"    85.00"
"lncRNA_2503"	"ptg000011l"	"35133667"	"  261377"	"+"	"  1042"	"    24.50"	"    25.00"	"    27.50"	"   418.61"	"   69.00"	"   621.33"	"     6.00"	"     9.00"	"   135.00"	"    11.00"	"   19.00"	"    13.33"	"  104.02"	"   581.00"	"    17.28"	"   21.50"	"  196.25"	"   209.45"	"     4.00"	"   94.67"	"   230.00"	"   871.00"	"    91.00"	"    23.25"	"   537.25"	"     3.00"	"    28.00"	" 9378.00"	"   20.00"	"   417.00"	"    80.89"	"     0.00"	"  376.33"	"   365.00"	"   176.00"	"    72.00"	" 1610.00"	"    10.00"	"   119.00"	"     0.00"
"lncRNA_2504"	"ptg000047l"	"14885416"	" 6256850"	"+"	"  1307"	"    24.00"	"  4668.00"	"     1.70"	"    19.00"	"  147.70"	"     2.00"	"   851.50"	"    13.00"	"    14.65"	"    97.00"	"  260.13"	"   342.37"	"  415.48"	"    17.67"	"    18.33"	"   70.25"	"   52.50"	"    28.67"	"    20.00"	"    2.00"	"    15.76"	"   640.00"	"  1150.50"	"     0.29"	"     4.13"	"     9.00"	"    16.50"	"  119.65"	" 2448.16"	"     9.38"	"    10.67"	"  1679.00"	"   12.67"	"   138.03"	"   505.00"	"    35.05"	"   38.62"	"   637.00"	"    48.00"	"     3.20"
"lncRNA_2509"	"ptg000022l"	"24383947"	" 4260305"	"+"	"  3966"	"    14.00"	"    21.50"	"   156.58"	"    63.00"	"   87.50"	"    20.00"	"   536.00"	"  2138.42"	"    35.00"	"    25.00"	"   52.00"	"    26.67"	"  300.00"	"    56.70"	"    16.15"	"   73.61"	"    1.00"	"    56.00"	"    13.75"	"  212.50"	"    14.13"	"  5327.50"	"    43.75"	"    15.00"	"    65.00"	"   375.00"	"     1.00"	"  738.50"	" 3362.17"	"     0.00"	"  1760.00"	"   457.30"	"  396.33"	"     7.00"	"    37.00"	"     1.00"	"  231.48"	"    11.00"	"    66.50"	"    52.27"
"lncRNA_2513"	"ptg000021l"	"10506515"	" 7294107"	"+"	"  2974"	"   481.00"	"     6.48"	"   108.83"	"    31.00"	"   53.50"	"   161.00"	"    90.70"	"    21.00"	"     4.00"	"   287.50"	"   25.64"	"    65.00"	"   42.38"	"    64.67"	"  2602.00"	"   13.00"	"  252.00"	"   130.69"	"    37.93"	"  139.00"	"     0.00"	"     5.17"	"   164.00"	"    18.64"	"   820.00"	"    24.92"	"    78.00"	"    9.67"	"   78.00"	"     8.00"	"     6.00"	"   289.75"	"   11.33"	"    20.00"	"    46.00"	"     2.50"	"  938.00"	"    25.20"	"    32.92"	"   752.00"
"lncRNA_2516"	"ptg000023l"	"10969599"	" 6762915"	"+"	"  8709"	"  1720.50"	"    23.00"	"    16.00"	"   121.00"	"  130.03"	"    67.33"	"    81.00"	"   102.00"	"    13.13"	"    97.06"	"   58.67"	"  1714.50"	"   73.46"	"    25.76"	"  1715.83"	"   70.53"	"   11.33"	"     2.23"	"    11.00"	"   14.50"	"     7.00"	"   178.08"	"    50.00"	"   159.17"	"   701.00"	"    17.00"	"    76.85"	"   56.67"	"   30.00"	"   100.52"	"   418.00"	"    91.00"	"   75.00"	"    14.00"	"   881.50"	"     6.00"	"  104.35"	"    26.60"	"    82.82"	"     0.00"
"lncRNA_2517"	"ptg000023l"	" 4222441"	" 5149724"	"+"	"  4967"	"   677.50"	"    32.33"	"    13.06"	"    54.00"	"  104.67"	"   162.00"	"    28.00"	"  1118.32"	"    19.00"	"    71.50"	"    4.91"	"    26.00"	"  301.00"	"    23.87"	"    15.00"	"    6.00"	"   86.00"	"   251.00"	"    91.68"	"    4.95"	"     0.00"	"    93.00"	"   223.00"	"    69.00"	"    64.00"	"   863.00"	"     4.00"	"    0.00"	"   16.00"	"    61.00"	"  1564.50"	"     8.37"	"   24.85"	"    25.38"	"    27.33"	"    21.00"	" 3674.33"	"    55.81"	"    73.50"	"    35.75"
"lncRNA_2518"	"ptg000011l"	" 6131950"	" 7314828"	"+"	" 70236"	"    23.43"	"    10.00"	"     0.00"	"    82.00"	"   49.00"	"    67.33"	"    34.83"	"    14.00"	"    69.00"	"    24.88"	"   15.00"	"    14.00"	"    0.00"	"     2.00"	"    35.83"	"   16.36"	"   22.54"	"     8.42"	"   305.80"	"   12.00"	"    23.00"	"   186.41"	"     8.50"	"   317.25"	"   404.34"	"    67.62"	"  1378.00"	"    0.00"	"   11.33"	"    16.88"	"     2.00"	"   154.83"	"  144.67"	"  2006.50"	"     2.16"	"   606.00"	"  821.75"	"    24.17"	"   138.40"	"    35.35"
"lncRNA_2519"	"ptg000025l"	"  361614"	"15884164"	"+"	"  2501"	"    12.00"	"   827.17"	"   130.50"	"     0.00"	"   10.00"	"  1266.00"	"   308.50"	"   978.26"	"    34.50"	"    29.67"	"   46.00"	"    79.00"	"  375.33"	"    15.33"	"   116.00"	"  113.00"	"   42.00"	"   122.17"	"    13.61"	"  113.33"	"   157.02"	"   210.50"	"    50.00"	"    59.39"	"   281.00"	"    11.00"	"    27.20"	"   35.50"	"    0.00"	"     0.00"	"    42.00"	"    13.00"	"   45.00"	"    15.00"	"    11.35"	"     6.00"	"   35.36"	"   162.50"	"   118.50"	"    31.50"
"lncRNA_2520"	"ptg000026l"	"31229490"	" 1080601"	"+"	"  7363"	"   182.71"	"     3.00"	"     4.00"	"  1083.50"	"  281.60"	"    14.29"	"   168.00"	"   248.13"	"    29.00"	"    29.75"	"   36.50"	"   503.47"	"  232.00"	"    91.08"	"     2.00"	"  197.50"	"    0.00"	"    44.49"	"     0.00"	"  125.00"	"   277.00"	"   250.67"	"    32.46"	"    40.33"	"     0.00"	"    10.48"	"    14.00"	"   45.00"	"   67.00"	"   317.00"	"   492.33"	"    13.00"	"   35.00"	"    41.00"	"    30.00"	"   688.75"	" 1137.00"	"   770.81"	"    87.60"	"    24.00"
"lncRNA_2521"	"ptg000020l"	" 6011850"	" 3969096"	"+"	"  1874"	"    25.74"	"    24.00"	"    27.00"	"   364.00"	"   21.00"	"    27.04"	"     5.00"	"    16.00"	"    24.00"	"    15.50"	"    4.00"	"     0.00"	"    3.00"	"   658.00"	"    25.00"	"   27.00"	"    0.00"	"    66.50"	"     7.00"	"    5.00"	"    53.50"	"   176.80"	"    14.96"	"    23.67"	"   198.00"	"    81.50"	"   268.50"	"    2.78"	"    4.00"	"   454.00"	"     7.00"	"    86.80"	"   26.50"	"    31.00"	"   327.00"	"    10.00"	"    8.00"	"     4.00"	"    37.78"	"     4.00"
"lncRNA_2522"	"ptg000012l"	"  435971"	" 2045077"	"+"	"  5545"	"   173.00"	"   280.32"	"    25.00"	"    46.00"	"   22.02"	"   246.00"	"     7.00"	"     5.00"	"    81.50"	"   465.00"	"   21.50"	"   199.25"	"   82.36"	"    38.00"	"    56.67"	"    0.00"	"    0.00"	"    17.33"	"    14.00"	"  378.00"	"     2.00"	"    88.02"	"     3.00"	"    55.58"	"    80.00"	"    10.78"	"  2946.00"	"    4.29"	"   51.50"	"   119.50"	"   162.50"	"    52.00"	"   41.51"	"    41.00"	"     0.33"	"   685.00"	"   24.00"	"    15.04"	"   337.00"	"     4.00"
"lncRNA_2523"	"ptg000025l"	"12267001"	"39326220"	"+"	"  2655"	"    59.64"	"    15.00"	"    45.00"	"    35.00"	"    4.00"	"    28.17"	"     8.50"	"     9.10"	"  1525.00"	"    28.33"	"   10.00"	"     7.25"	" 1778.50"	"    27.00"	"    66.01"	"   15.51"	"   31.30"	"    65.00"	"   192.50"	"   10.95"	"    54.00"	"    43.94"	"   607.00"	"    10.36"	"     0.00"	"    53.00"	"     8.17"	"  841.50"	"  200.40"	"    54.00"	"    19.00"	"     6.00"	"   28.00"	"     9.00"	"   983.67"	"    54.00"	" 1708.00"	"    67.50"	"    32.00"	"    88.17"
"lncRNA_2525"	"ptg000015l"	" 5815278"	"20180754"	"+"	"  6944"	"    40.97"	"   146.08"	"   120.83"	"    65.00"	"    7.00"	"    26.00"	"     0.00"	"   132.40"	"    12.60"	"   205.00"	"    6.75"	"    55.58"	"   51.15"	"    11.67"	"    12.30"	"   27.00"	"   26.70"	"   292.50"	"     9.43"	"   58.50"	"    11.00"	"   185.00"	"   421.00"	"    12.50"	"    60.16"	"    59.33"	"     5.43"	"    0.00"	"  261.00"	"    31.10"	"   170.30"	"     6.00"	"  309.00"	"     0.00"	"   269.50"	"    15.75"	"   47.33"	"    81.50"	"    67.00"	"     6.00"
"lncRNA_2526"	"ptg000036l"	"12107205"	"  715940"	"+"	"  2766"	"    24.83"	"    87.50"	"     4.00"	"    53.00"	"   23.79"	"     9.00"	"    45.25"	"    62.62"	"   101.42"	"     1.00"	"  209.00"	"   909.00"	"   25.90"	"     3.00"	"    71.17"	"  132.32"	"   15.00"	"    14.33"	"     0.17"	"    1.00"	"    10.50"	"   195.00"	"    17.73"	"    59.67"	"     2.00"	"   239.34"	"    18.50"	"    6.00"	"   15.50"	"    13.00"	"   513.70"	"    33.33"	"  271.00"	"    59.83"	"     6.00"	"   157.00"	"    3.90"	"  3592.55"	"     0.00"	"  3211.00"
"lncRNA_2527"	"ptg000047l"	" 3609835"	" 7442313"	"+"	" 13550"	"   484.00"	"   232.80"	"   302.00"	"   888.00"	"  215.00"	"    19.00"	"     5.00"	"   111.33"	"    83.00"	"    29.00"	"   92.44"	"   777.24"	"   23.30"	"    64.00"	"     0.12"	"   28.00"	"   29.50"	"   511.00"	"    38.50"	"  203.20"	"   126.88"	"   205.10"	"     6.67"	"    17.00"	"   413.11"	"    45.50"	"   274.00"	"    0.00"	"   78.25"	"   831.00"	"    13.00"	"     0.00"	"    2.69"	"     0.50"	"   486.00"	"    70.50"	"  128.37"	"    48.50"	"     4.00"	"     2.00"
"lncRNA_2528"	"ptg000047l"	" 4678430"	"18713065"	"+"	"  2675"	"    25.67"	"     6.00"	"     0.00"	"    17.00"	"   16.00"	"   210.00"	"   473.51"	"    68.00"	"   848.45"	"    38.00"	"  523.83"	"    43.78"	"  360.74"	"    11.00"	"    19.35"	"   22.00"	"    0.25"	"     0.00"	"    15.00"	"   18.00"	"     1.00"	"    83.17"	"     0.00"	"    73.85"	"    16.00"	"   100.00"	"     5.50"	" 1257.00"	"    8.00"	"    35.38"	"    91.57"	"    22.00"	"    0.00"	"    17.00"	"    13.17"	"    13.59"	"  587.00"	"    23.00"	"     0.23"	"     8.00"
"lncRNA_2529"	"ptg000011l"	" 5056302"	" 3559033"	"+"	"  1094"	"    13.04"	"   245.47"	"   284.00"	"   188.00"	"  168.48"	"     6.00"	"     0.00"	"    27.83"	"   276.00"	"     7.39"	"   29.98"	"    35.62"	"   16.40"	"    52.00"	"    11.86"	"   72.00"	"   14.33"	"    73.00"	"    57.66"	"   14.00"	"    26.50"	"   113.60"	"    14.00"	"   966.70"	"    18.33"	"   359.06"	"    22.00"	"  213.00"	"    3.00"	"   323.68"	"    17.00"	"    32.60"	"   12.00"	"    32.17"	"    65.00"	" 30729.50"	"   17.50"	"   383.00"	"     8.00"	"     8.00"
"lncRNA_2530"	"ptg000020l"	" 9137689"	" 5214970"	"+"	" 11465"	"     0.00"	"     8.00"	"   202.57"	"    40.50"	"  175.00"	"   186.00"	"    27.00"	"   572.00"	"     9.71"	"    68.95"	"    1.00"	"    80.01"	"   81.00"	"     2.50"	"    18.59"	"   30.50"	"   55.67"	"    15.33"	"     0.00"	"  205.50"	"    44.00"	"    50.79"	"   486.00"	"    29.50"	"    42.00"	"   707.00"	"   653.00"	"  385.00"	"   28.33"	"    10.00"	"     8.50"	"   384.60"	"  393.00"	"   179.40"	"  4230.00"	"   737.00"	"   60.00"	"    59.00"	"    83.00"	"    89.00"
"lncRNA_2531"	"ptg000001l"	" 7771250"	" 8595236"	"+"	"  3623"	"     5.00"	"    68.63"	"   345.00"	"   302.00"	"  452.00"	"    39.00"	"     0.00"	"  8599.50"	"   894.00"	"   392.83"	"   92.00"	"     9.33"	"   12.00"	"     7.79"	"     1.00"	"   16.00"	"  162.94"	"    14.33"	"   990.00"	"   18.60"	"   105.67"	"    30.00"	"     0.00"	"   146.00"	"    86.50"	"     4.67"	"    20.00"	"19953.00"	"    0.00"	"    11.00"	"    34.67"	"   694.00"	"  216.58"	"   171.50"	"    54.00"	"     3.00"	"  487.00"	"     6.00"	"    22.50"	"   773.00"
"lncRNA_2532"	"ptg000001l"	" 9833786"	"17841598"	"+"	"  1701"	"    32.67"	"    32.52"	"    55.25"	"    71.00"	"  216.42"	"     9.50"	"    32.68"	"     8.00"	"   161.00"	"  2165.50"	"  102.00"	"    16.36"	"  318.00"	"    34.00"	"   144.00"	"   14.50"	"   14.05"	"   270.40"	"    12.50"	"   98.00"	"   255.50"	"    49.50"	"   778.00"	"     5.80"	"   405.00"	"   213.42"	"   876.00"	"    0.00"	"    3.00"	"   438.00"	"    16.50"	"    11.00"	"   10.00"	"    45.00"	"    32.75"	"    23.33"	"   83.50"	"  1015.63"	"    14.00"	"    54.00"
"lncRNA_2534"	"ptg000006l"	"10854509"	"18320403"	"+"	"  2309"	"    14.31"	"   299.00"	"    69.00"	"    83.00"	"   25.17"	"    52.00"	"     1.41"	"   202.00"	"    56.00"	"    46.50"	"   52.58"	"   217.93"	"   57.00"	"     0.00"	"    45.20"	"  689.00"	"  367.50"	"     3.00"	" 13155.00"	"   13.00"	"   166.50"	"   147.00"	"   291.50"	"   115.00"	"    81.00"	"  1129.00"	"    30.00"	"  143.66"	" 1217.00"	"     5.50"	"   137.00"	"   182.50"	"    9.00"	"    25.00"	"    23.00"	"     4.00"	"  138.57"	"     0.00"	"   281.83"	"    19.00"
"lncRNA_2535"	"ptg000011l"	"  666329"	"14774276"	"+"	"  3545"	"     8.45"	"    30.50"	"     4.75"	"   161.47"	"    6.58"	"    10.39"	"    44.00"	"    14.00"	"   120.83"	"    11.00"	"  102.00"	" 22924.70"	"   20.00"	"   344.68"	"   170.67"	"    7.00"	"  103.00"	"   217.28"	"   165.40"	"    2.00"	"   134.00"	"    77.00"	"     0.45"	"    55.50"	"   492.50"	"    16.53"	"    91.29"	"  194.00"	"    2.50"	"    25.00"	"    15.00"	"    21.00"	"    1.17"	"    72.33"	"    73.00"	"    41.08"	"  705.50"	"    36.17"	"     8.00"	"    16.67"
"lncRNA_2537"	"ptg000011l"	" 7364913"	" 7364554"	"+"	"  1427"	"    82.74"	"   404.75"	"     5.00"	"  1279.00"	"   20.00"	"    17.99"	"    18.57"	"    10.40"	"   208.75"	"     1.00"	"   40.00"	"   382.00"	"   44.43"	"    22.00"	"   490.05"	"   10.83"	"    0.00"	"     3.25"	"    12.00"	"    3.00"	"    69.12"	"    77.83"	"     0.04"	"    10.00"	"   119.41"	"     8.00"	"    74.00"	"    0.00"	"   85.33"	"    97.56"	"   108.00"	"    50.75"	"    0.00"	"   861.50"	"    29.78"	"    90.00"	"   20.50"	"   227.00"	"    77.25"	"    26.00"
"lncRNA_2538"	"ptg000016l"	" 5938866"	" 4221953"	"+"	"  3620"	"    71.70"	"     0.00"	"   288.25"	"   248.00"	"  137.00"	"    75.76"	"     0.00"	"    30.00"	"    10.87"	"    46.00"	"  620.24"	"  2739.58"	"  525.08"	"    51.00"	"    44.22"	"    4.96"	"   15.33"	"   320.00"	" 14432.00"	"    2.00"	"    65.00"	"   105.86"	"     7.00"	"    88.33"	"    23.00"	"   284.50"	"   346.00"	"  170.45"	"   29.67"	"   302.00"	"   142.26"	"    57.76"	"    1.00"	"   167.83"	"    47.00"	"    53.67"	"   12.00"	"   234.50"	"    26.68"	"   352.00"
"lncRNA_2539"	"ptg000024l"	"14019911"	"22099854"	"+"	" 11325"	"   319.22"	"    19.25"	"    78.00"	"   576.00"	"  114.00"	"    49.00"	"    42.00"	"    53.50"	"    48.67"	"   120.00"	"   80.67"	"    64.20"	"   38.74"	"     3.00"	"    16.42"	"  167.00"	"  928.67"	"    65.50"	"     3.00"	"  302.25"	"    13.00"	"    72.00"	"   170.00"	"   167.50"	"   100.00"	"     4.00"	"   133.89"	"    0.00"	"    0.25"	"   492.39"	"   125.00"	"    33.77"	"   13.80"	"     3.00"	"     3.00"	"    16.00"	"    0.47"	"  2425.00"	"    23.00"	"    81.00"
"lncRNA_2540"	"ptg000023l"	"23638362"	"10707908"	"+"	"   938"	"    26.00"	"   160.00"	"   355.58"	"   166.52"	"  180.50"	"     4.00"	"  1444.69"	"    29.00"	"     8.00"	"   567.50"	"   79.00"	"   412.00"	"  122.00"	"    70.75"	"    61.13"	"   17.00"	"   30.50"	"    31.50"	"   414.50"	"  132.60"	"    46.20"	"    65.50"	"    94.33"	"  1684.00"	"    40.50"	"    59.67"	"    51.50"	" 2720.50"	"   51.00"	"    10.00"	"    30.83"	"     4.00"	"    7.40"	"    23.00"	"    93.00"	"    24.00"	"   90.67"	"    32.00"	"    10.48"	"  1064.00"
"lncRNA_2543"	"ptg000020l"	"10983858"	"14412650"	"+"	" 31519"	"   286.00"	"    93.00"	"    25.99"	"    28.83"	"   79.42"	"    41.00"	"    24.50"	"    86.50"	"    84.00"	"   188.41"	"  275.00"	"     3.00"	"   44.00"	"    26.00"	"    20.00"	"    5.00"	"   10.60"	"   129.67"	"     5.00"	"   34.00"	"     3.00"	"    45.00"	"   456.66"	"     0.00"	"     1.83"	"   108.17"	"   255.00"	"   54.00"	"   35.00"	"   401.00"	"    25.00"	"     0.00"	"   14.67"	"   354.00"	"    52.00"	"     5.00"	"  218.00"	"   261.00"	"    98.25"	"    99.00"
"lncRNA_2550"	"ptg000008l"	" 5318769"	"11185399"	"+"	"  8331"	"   164.85"	"   160.50"	"    26.00"	"    44.00"	"  120.83"	"   577.50"	"    39.36"	"  4027.00"	"   351.00"	"    59.92"	" 2739.00"	"   115.00"	"   86.00"	"    31.50"	"   171.33"	"   12.00"	"    0.00"	"    16.50"	"   653.00"	"   19.85"	"   747.62"	"    14.45"	"    36.06"	"   295.00"	"    13.33"	"    13.00"	"    87.00"	"    3.86"	"    1.17"	"    53.00"	"    73.50"	"    69.92"	"   19.00"	"    12.00"	"    41.68"	"   161.00"	"  176.50"	"   474.50"	"    21.79"	"   177.00"
"lncRNA_2553"	"ptg000022l"	" 1159053"	"32326325"	"+"	" 14978"	"    58.00"	"    24.17"	"   141.00"	"    24.33"	"   12.47"	"   466.00"	"     0.00"	"     7.00"	"     0.00"	"   261.31"	"  223.78"	"  2962.50"	"   18.29"	"   131.00"	"    11.50"	"   14.00"	"  417.04"	"    15.00"	"   246.83"	"  100.33"	"    37.00"	"    22.25"	"    70.51"	"   468.00"	"    22.00"	"    41.00"	"    25.00"	"  227.50"	"   21.93"	"    47.43"	"   174.00"	"   311.75"	"    1.67"	"   316.00"	"    24.35"	"    64.50"	"   19.10"	"   148.17"	"    36.00"	"     8.00"
"lncRNA_2554"	"ntLink_6"	" 2468079"	" 2667226"	"+"	"   740"	"   943.00"	"    75.91"	"   416.50"	"     9.80"	"  118.00"	"    70.17"	"   100.35"	"    12.07"	"     1.50"	"    76.70"	"  201.00"	"    26.00"	"  108.33"	"   163.00"	"  3621.00"	"   17.18"	"   57.00"	"   109.50"	"     5.00"	"   40.58"	"  1363.50"	"    27.66"	"    17.00"	"    20.74"	"   144.00"	"     5.00"	"  8863.00"	"    1.00"	"   11.02"	"     1.00"	"   274.00"	"   722.17"	"    8.17"	"    47.62"	"   190.40"	"    20.00"	"   27.79"	"    82.00"	"   806.00"	"     6.00"
"lncRNA_2562"	"ptg000002l"	"13128667"	"16654442"	"+"	"  1736"	"   275.99"	"     1.67"	"    13.25"	"   185.00"	" 1135.43"	"     0.00"	"    74.30"	"   354.35"	"   504.88"	"     0.00"	"  571.00"	"    18.00"	"  749.00"	"     9.50"	"   212.00"	"  138.00"	"   81.50"	"    96.74"	"    41.17"	"  246.50"	"   201.50"	"   371.67"	"    28.88"	"   108.83"	"    55.00"	"    15.00"	"    24.41"	"  178.99"	" 1866.00"	"     9.00"	"    46.83"	"    18.00"	"  228.00"	"   316.00"	"    70.00"	"    16.00"	"    0.00"	"  1209.00"	"    13.00"	"   159.95"
"lncRNA_2564"	"ptg000047l"	" 6653800"	"12884984"	"+"	" 23295"	"    82.00"	"     5.00"	"    61.00"	"    77.67"	"   41.67"	"    18.59"	"    36.33"	"     9.00"	"   133.00"	"    11.17"	"   90.00"	"     8.00"	"  111.00"	"    10.00"	"    16.33"	"  231.00"	"   10.00"	"    16.00"	"    26.00"	"   43.00"	"     8.50"	"    11.50"	"    33.00"	"    48.00"	"   126.12"	"  3542.72"	"    15.00"	"  104.00"	"  242.58"	"     0.00"	"    18.00"	"     1.00"	"   64.43"	"   140.00"	"   513.00"	"    14.00"	"   47.00"	"    35.00"	"    25.67"	"     4.75"
"lncRNA_2565"	"ptg000026l"	" 1589381"	" 8366924"	"+"	"   843"	"    13.00"	"    21.50"	"     5.67"	"   167.33"	"  238.00"	"    13.00"	"     8.67"	"    18.00"	"   256.79"	"    17.67"	"   14.00"	"   189.00"	"  125.00"	"   113.00"	"    56.50"	"   44.50"	"   35.88"	"     9.00"	"    54.00"	"   20.00"	"   164.42"	"   314.00"	"    42.50"	"    46.17"	"   149.00"	"   114.16"	"  1001.22"	"   37.00"	"  248.50"	"   470.00"	"   135.50"	"    20.00"	" 4082.00"	"    14.00"	"   123.00"	"   123.57"	"  237.00"	"   210.50"	"   228.29"	"    42.55"
"lncRNA_2568"	"ntLink_6"	" 4323603"	"17751260"	"+"	"  3206"	"    21.00"	"    29.92"	"    78.51"	"    38.74"	"   27.17"	"    39.20"	"     7.87"	"   233.50"	"   141.00"	"   215.50"	"   15.20"	"   136.00"	"   50.73"	"   265.33"	"    15.67"	"  544.50"	"  298.92"	"    13.00"	"   387.50"	"  108.00"	"    26.00"	"    92.92"	"   271.08"	"     5.00"	"   259.44"	"   134.98"	"     7.00"	"   30.50"	"   61.67"	"   727.00"	"    10.25"	"    21.00"	"   11.67"	"    66.66"	"   141.90"	"    29.00"	"    2.45"	"   502.49"	"    84.90"	"    26.09"
"lncRNA_2573"	"ptg000059l"	" 1688502"	" 3960993"	"+"	" 33256"	"    54.92"	"   354.00"	"    26.00"	"   229.00"	"   23.50"	"   247.50"	"    19.17"	"    36.50"	"   100.00"	"     0.58"	"    9.83"	"     1.00"	"   29.16"	"    14.00"	"     3.00"	"  404.79"	"   54.60"	"    20.00"	"    20.00"	"  672.67"	"    90.50"	"    40.50"	"    10.00"	"    53.50"	"    19.00"	"    38.00"	"    49.00"	"  171.00"	"    2.00"	"   327.83"	"  4414.00"	"   286.83"	"  343.81"	"    61.17"	"   108.17"	"     9.60"	"   18.00"	"   155.28"	"   198.25"	"     2.00"
"lncRNA_2574"	"ptg000008l"	" 1587688"	" 5984684"	"+"	"  4766"	"    22.33"	"    18.00"	"    20.50"	"   121.00"	"  235.47"	"    23.00"	"     0.00"	"     8.00"	"    16.41"	"   177.18"	"    3.33"	"   220.00"	"    7.50"	"     8.00"	"   113.00"	"   18.83"	"   21.00"	"    15.50"	"   198.00"	"   30.00"	"   448.00"	"    27.50"	"   185.00"	"    22.51"	"     0.00"	"    21.17"	"    84.00"	"   60.60"	"   18.00"	"    41.00"	"     6.04"	"   733.00"	"  183.50"	"    39.50"	"     7.50"	"   167.00"	"  297.50"	"    46.82"	"    14.00"	"     0.33"
"lncRNA_2576"	"ptg000018l"	"14723069"	"14176684"	"+"	"  2491"	"    26.00"	"    41.22"	"     0.00"	"    56.53"	"  468.50"	"    21.00"	"   128.85"	"   189.00"	"  2932.89"	"    17.00"	"  478.00"	"     2.00"	"   17.00"	"    12.70"	"  6082.37"	"   59.50"	"    8.37"	"     4.91"	"   138.00"	"  109.02"	"  3874.00"	"     7.00"	"     0.00"	"    12.00"	"   396.50"	"   103.25"	"   140.83"	"   84.67"	"   15.00"	"     5.67"	"    66.00"	"    50.28"	"    8.00"	"    39.50"	"  4681.69"	"     6.83"	"   66.00"	"    37.35"	"   109.00"	"   164.00"
