Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-260-TP3_R1_001	POR-260-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16900517.0	2.2 Gbp	0.0	15-135	47.0	17.354385319702562	133.33734618887695	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-260-TP3_R2_001	POR-260-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16900517.0	2.2 Gbp	0.0	15-135	46.0	17.83005263890137	133.17616029142778	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-260-TP4_R1_001	POR-260-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19274074.0	2.5 Gbp	0.0	15-135	46.0	17.069090764967203	133.1692130060308	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-260-TP4_R2_001	POR-260-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19274074.0	2.5 Gbp	0.0	15-135	46.0	17.465802332199054	133.1810954445853	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP1_R1_001	POR-262-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20029292.0	2.6 Gbp	0.0	15-135	46.0	18.16460670744381	133.09082877218026	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP1_R2_001	POR-262-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20029292.0	2.6 Gbp	0.0	15-135	46.0	18.397051596702113	133.10359612311808	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP2_R1_001	POR-262-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20521732.0	2.7 Gbp	0.0	15-135	46.0	22.395492105166138	133.38516549187955	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP2_R2_001	POR-262-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20521732.0	2.7 Gbp	0.0	15-135	46.0	22.820690422922382	133.38874525795387	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP3_R1_001	POR-262-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21153661.0	2.8 Gbp	0.0	15-135	47.0	17.366865200297184	133.34131831837524	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP3_R2_001	POR-262-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21153661.0	2.8 Gbp	0.0	15-135	46.0	17.73260258194637	133.2057702446872	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP4_R1_001	POR-262-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17190954.0	2.2 Gbp	0.0	15-135	47.0	17.178588166659562	133.04850248566774	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-262-TP4_R2_001	POR-262-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17190954.0	2.2 Gbp	0.0	15-135	47.0	17.657866792472134	133.06235936644353	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-69-TP1_R1_001	POR-69-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21802122.0	2.9 Gbp	0.0	15-135	47.0	14.230055450546786	133.47332869708737	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
