goslim_term,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35
renal system process,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
reproductive process,9,3,4,6,2,3,4,1,4,1,4,5,4,1,4,3,2,1,7,6,2,1,3,2,5,4,5,2,6,2,5,5,4,3,4
respiratory system process,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
ribosome,0,0,7,0,6,3,5,0,0,2,6,0,4,7,1,0,0,5,0,0,0,6,4,0,6,0,3,1,0,0,0,0,0,2,5
ribosome biogenesis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
signaling,5,0,1,5,0,1,1,2,0,0,1,7,2,0,0,1,0,0,2,0,1,0,0,0,0,4,0,0,1,2,1,1,0,2,1
snRNA metabolic process,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
structural molecule activity,1,1,11,0,12,6,9,2,2,4,12,0,8,12,1,1,2,12,2,1,2,12,9,2,9,1,4,5,1,2,3,1,1,6,9
sulfur compound metabolic process,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1,0,2,0,2,0,1,1
tRNA metabolic process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telomere organization,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
transcription regulator activity,4,13,4,3,4,9,3,8,8,3,2,2,3,4,7,7,4,1,12,13,6,1,3,3,5,7,6,0,8,3,5,15,11,3,4
transferase activity,9,4,8,14,1,1,1,3,4,2,2,10,5,3,4,8,8,2,15,7,4,1,1,3,1,15,8,6,4,7,4,5,3,4,2
translation regulator activity,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
transmembrane transport,2,1,0,5,0,0,0,4,0,0,0,6,0,0,2,2,1,0,3,2,4,0,0,1,0,5,0,4,2,2,2,4,3,4,0
transporter activity,1,1,0,5,0,0,0,3,1,2,1,10,1,0,0,4,3,0,4,3,6,2,2,2,2,4,2,5,2,1,3,5,3,5,0
vacuole,4,0,0,0,2,0,0,1,1,5,2,1,1,3,1,0,3,1,0,3,1,1,2,5,5,1,0,1,1,3,0,1,2,2,2
vesicle-mediated transport,8,1,3,7,1,1,3,1,2,6,2,4,5,0,1,5,4,1,10,9,2,0,0,5,2,6,4,6,2,2,5,4,4,2,1
virus receptor activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
vitamin metabolic process,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
wound healing,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0
