compound,POC-52_TP1,POR-245_TP3,POC-255_TP3,POR-69_TP4,POC-53_TP1,POC-222_TP1,ACR-145_TP4,POC-255_TP1,Metabolic-PBQC-1,ACR-265_TP3,POC-42_TP3,ACR-229_TP1,ACR-186_TP3,POR-245_TP4,POR-216_TP1,POR-245_TP2,POC-219_TP3,POC-219_TP4,POC-57_TP1,POR-69_TP2,POR-216_TP4,POR-83_TP3,POC-222_TP4,POR-260_TP4,ACR-225_TP1,POC-40_TP4,POR-72_TP1,POC-57_TP3,POC-42_TP4,ACR-244_TP1,ACR-186_TP1,POC-57_TP4,POR-72_TP3,POR-260_TP3,POR-73_TP2,POR-260_TP2,ACR-173_TP1,POR-73_TP1,POR-83_TP4,POR-262_TP2,POC-53_TP4,POC-52_TP4,ACR-173_TP4,ACR-139_TP1,POR-262_TP4,POR-73_TP4,ACR-225_TP3,POR-260_TP1,POC-259_TP1,POR-236_TP1,POR-74_TP2,ACR-237_TP4,POR-74_TP1,POC-42_TP1,POR-83_TP1,POR-69_TP3,ACR-139_TP3,ACR-265_TP1,POC-40_TP3,ACR-237_TP1,POC-259_TP3,POR-236_TP2,POC-40_TP1,POR-72_TP2,POR-72_TP4,POR-216_TP3,ACR-145_TP1,POC-259_TP4,ACR-229_TP3,ACR-244_TP3,POC-201_TP1,POR-69_TP1,POC-222_TP3,ACR-186_TP4,ACR-139_TP4,POR-73_TP3,Metabolic-PBQC-2,ACR-173_TP3,ACR-225_TP4,ACR-150_TP4,POR-74_TP3,ACR-237_TP3,ACR-145_TP3,POR-74_TP4,POR-245_TP1,ACR-150_TP3,POR-262_TP3,POC-53_TP3,ACR-244_TP4,POC-255_TP4,POR-262_TP1,POC-219_TP1,POC-201_TP3,POR-216_TP2,POC-52_TP3,ACR-150_TP1,ACR-229_TP4,POR-83_TP2
Ornithine,3494716.27617331,703099.715562409,2278926.35551425,1361836.2199786,2219604.14400557,1253201.67617186,398749.806191498,2717549.76982181,1649763.26431982,463100.719815873,5722802.3817193,175971.880356506,563329.400434795,480343.261880908,1165881.66890752,1644353.7658652,2992451.04630041,2195807.34301148,10112908.3574335,1042658.70988542,734392.170702033,842188.866866819,1855766.33146893,780518.868245444,479730.470672332,1492775.78666817,520251.191135972,3840471.3446594,6610681.10979053,821766.556466611,496480.48062634,8170384.70404365,697860.491594662,1141036.23646525,846857.446234291,1007581.97635029,731160.521111082,1152444.87311405,822952.135507153,1031521.21547788,4925880.44366052,5414987.93265546,640753.178914856,1074271.15731917,1621984.53742061,1778870.92800025,342694.882051978,921795.664545189,2737421.15084986,316755.085904636,677548.40694439,1403846.5291155,425128.57885912,5236859.49550393,1220197.29018082,634126.408268854,697472.283880523,616704.289740505,2495556.07161366,996499.349194125,1065894.8263176,442275.289782888,771014.041970125,1199545.84910221,627014.346558733,1262165.23362604,1508192.80902284,2036785.77027855,1060928.16746579,1030046.12502971,2200377.33796231,461658.316610442,1792107.26538062,607537.820500098,1532375.51882417,1012554.87154677,1562212.76750164,1458002.79825561,1238608.58137812,435202.195420548,1125161.46146334,931329.650816345,574248.607072105,1894436.98351156,643422.015619641,1036295.45249656,885752.937151083,3013150.79551054,1853246.90148896,2321624.34134228,824435.410263101,1865015.05468109,3350325.04092997,1887818.28332877,4005606.09605381,436454.414929356,936781.370307728,304857.524660451
Asparagine,3940048.4585059,1694918.85628469,5081748.0585523,2312454.08328034,5889775.87406792,1721387.87326979,1111812.8842962,2413020.96246415,3075714.55899725,2440834.66176788,12005543.7103135,2508616.27125636,4896195.54951826,1530451.10518057,2051509.52907526,1378910.24169167,6173186.24654933,3778587.3971106,4254082.00876399,1184782.50852326,1900984.69171814,1118460.28993498,6266435.90682985,1440818.09827793,1356816.34025459,2718789.94206864,967198.351950905,2766672.17148537,6615624.67301473,1271890.69277314,4608682.9718818,7582151.48005691,729314.19505742,2930393.14827467,601527.117242641,919031.729174648,893318.78596125,1039599.56705212,4235620.41686538,948773.537182061,3825333.73175171,4223681.96798576,1511333.007715,1102915.72597431,736111.481169921,8496385.64772365,5524905.31904117,1024808.48425002,14375892.9450728,726453.82709246,831944.499435559,7368230.79574252,941914.608434581,14046458.1256232,1249219.30209889,1333035.60814711,1908600.37081903,714087.906688884,5457428.63656077,1432844.21739138,2039140.28793661,622644.444181081,1051725.74502524,13133946.2903914,1132072.58213042,10267326.0918951,1174641.89698679,4699520.43346204,2019694.24902938,1143301.26987785,2134797.24942496,4103080.02945054,2376801.82684234,1118960.69954834,13100062.0467621,680738.860702584,3331197.6228943,3821535.46516005,6113097.20873781,1488207.89649894,1906832.0630962,1604458.31727592,1799338.07989205,2252977.00451094,811108.840275879,1735154.19766881,1267581.13557133,3859808.86555716,5198910.55434052,5924359.21710632,2732139.93014397,3055066.2091448,9799037.73849081,1774063.111046,3603451.07884037,805014.351155548,2996937.01127782,306507.803198838
Aspartic Acid,27099355.1144831,13976937.9086721,30453640.4430883,11073641.3128608,64099602.4379697,24450714.6201444,1870736.0164466,28030400.4354342,13519291.2133598,2669694.72375757,54947814.063741,,4517711.65517083,5230794.24453281,13168264.6589891,4759574.29793915,35865169.6090435,27570181.9605342,36869537.072476,5792286.08883611,10588230.6398052,6981155.47882012,32182118.6968349,3789547.6890887,2516187.51881879,24061096.23258,3790703.89059342,15203351.7749951,47487966.1761528,3506644.99710293,4935345.53065791,71317447.6039305,2819182.38975712,5160720.06742598,2542713.32847646,2596871.59847344,2060867.31842684,3254172.69109814,10723119.2211176,4929221.84382876,40956553.0365286,39604190.8541402,2321249.35897548,2730168.99540112,2256114.1897309,15308628.6695464,5015021.49628518,4524183.05759934,42583466.0974174,3604521.79861997,7993323.81370589,9699714.88077681,7310870.03348773,50822535.430245,10781743.0130396,4391029.58270469,2478083.08402704,1426027.98522042,25559400.726219,2779292.60019288,11898513.6613425,4513553.44278355,9771215.09409367,18649404.3579028,6520804.08033371,36690649.6075635,2725206.3682715,37781875.8047295,3106582.97218504,2614286.87586896,23676167.4787449,33444718.6216613,22981530.2688871,1738419.5557848,18929821.2294407,3022485.19059399,13217714.7273983,4623124.97289111,10404951.6485191,1951023.15349141,19198091.4266907,2107827.42444009,2501015.36499441,4984665.32667821,2839137.11378672,2172545.68004926,3531476.12374899,30208422.7644969,9867800.0025254,28087571.6775884,4431030.70418479,18422904.677166,53144986.3927665,9969560.31034686,39227883.5787194,1995322.11025004,5134631.60520231,1957874.98798146
Homocysteine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-Methylcysteine,213283.742210904,265980.084541457,363105.973315826,288243.265768815,154628.351940754,182999.828218956,,180106.159321954,156809.55087088,,709929.672939381,249284.654427073,121105.66705873,93506.1537447175,113166.256112296,180066.828840015,374688.395054253,213931.087264227,305607.465560594,83092.9958586109,285448.49324827,114500.68602368,256318.483771882,517002.448480557,79281.7030402093,98591.6497552108,86118.5401872291,317369.24671088,196548.343901414,121143.961520191,112182.439579984,249214.126981384,65510.843598927,328138.784336502,177533.273459598,148904.251211335,,,117919.653481914,77308.3988208173,304735.095497105,232160.614454021,118004.769502293,61443.8749580997,82359.0012198488,,,207000.426279135,445978.097552527,112693.69478096,79583.5889869155,85523.1109110123,,499931.495029815,73045.5684838389,115572.966642998,,,371726.206541351,,181312.52648463,80797.0611764979,67500.7388442587,,92776.4752377078,,,189490.98707766,96816.3189347953,,178467.024547621,126758.54151838,132834.625867157,52979.9638199566,566618.119547374,344726.04296236,160537.681867207,,,,97214.7655390409,,,286607.718370062,80152.4144420707,,193079.59157076,292008.688305628,73523.2769690674,304719.410211986,91095.2710673113,154447.940160381,458438.092313799,224995.805726668,316326.90503187,,82863.5873284503,
1-Methylnicotinamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyramine,2339552.70522885,7862805.68619503,4371697.62913555,8798163.18465167,607199.914560009,910128.301978105,11292783.1116086,1022096.23041956,19034888.8118188,271534.448382457,27656893.6456752,16810749.7548051,155039050.889867,10695660.7720862,17584976.8168752,9547001.06841663,4443490.72902715,11397564.2504614,2708596.68051155,4806018.51659481,34197205.0661374,5716236.82169252,21571978.3388951,13380813.8449583,16956407.4618439,1952039.0287275,4528468.13748851,5392342.78661568,6698523.25574521,21941907.5807459,83917058.9513609,1216027.57448314,13972475.2151003,34993963.272595,9246713.03382892,7312337.34210233,9196056.67565661,14752330.3538666,11847113.431786,2143272.74684232,3869609.81376527,6112188.1560522,44885254.7508662,38283169.6322664,6918665.69979047,15821976.5945474,141991.025313205,4156416.13712388,14441491.2305724,21163031.75058,2957806.19794456,99087427.1262059,4189767.18006119,32509205.2027946,2798396.89109858,7989358.24661532,11124947.9598514,2172868.90549385,15020283.2363879,13962679.5927703,173169.187930356,2215649.37233749,299391.224551473,1596446.96090042,1142502.54780291,9290337.09700307,2532461.21549898,1213234.14272711,26238839.7095813,29473076.9489242,2726454.44166372,5715802.57929277,4615539.27756723,9563774.56649755,119755029.759867,17794512.144044,21762150.6566071,190189514.66061,35351360.6264649,27386897.5412612,18955981.8534242,29079480.1269103,28755961.0518877,31557513.2391987,8251942.99978045,38334368.4147034,10769215.7194114,4641080.10322241,85024113.306854,4986409.91406183,28781657.0345062,2649798.20988979,40512548.8203742,25835513.9470287,12143076.6885281,7414722.37303741,61598073.7090011,987877.647021437
4-Aminobenzoic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigonelline,11336773.2946493,124054673.204555,6158577.43994488,201463802.147358,11924793.6371809,7528028.45044524,14320660.3639818,9746619.66307581,66683473.4345322,16238031.8166617,8471675.34496103,,36139618.1718732,86626828.5244409,124669302.10319,163969580.432383,2966519.31514843,3042969.06942822,14325270.5920949,143631762.467523,85670873.4997265,97688089.4197123,5137161.12624111,127339639.173577,30620021.8272709,4973036.01298377,98934411.7231298,6085987.48240105,12367784.1020174,8501315.71109122,35954227.541617,16340374.7056472,66355441.9010462,149159733.130512,82925207.1114495,112740559.66616,20906558.8916695,114570226.109045,130586771.515701,120037645.020936,8732860.88014549,9261480.02672733,16646287.0493094,34232175.2059145,74778454.8206757,187599882.467018,24539481.3433059,171241966.083845,6670384.25906696,75317732.8017944,66059704.0110693,87012389.8265533,50314782.582223,13938737.6798245,123729713.670207,98880706.8354232,16256148.6030067,20946512.3410914,6574315.66671294,28547933.182243,2665883.60247215,82864762.2001694,3832533.86126832,95347589.8208063,126708046.863704,132394017.603919,38394677.2427553,6710802.9478422,24622262.8722436,13767532.7475712,13466390.1944347,355323259.434995,2745755.47275245,28109036.9502689,35074573.9613277,112077519.275427,70819837.038596,23386394.2921446,119107484.300081,64741744.6895739,88022272.0517074,28282660.8340902,27778976.8932761,84843394.8821676,137587272.076423,34248969.2438063,129672456.514169,7423613.21202495,31335237.1672731,2615979.03824527,135450063.455876,3066210.98913033,12451663.0509735,127990279.113628,8238104.74338997,18628438.8092177,59181422.1882754,60657910.4504341
1-Methylimidazole Acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imidazole Propionate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Guanidinobutanoate,57825200.958861,316288286.871562,144959248.673927,230645270.888946,206133026.57257,83334126.8375513,6572873.14143449,121480538.306325,137460392.753976,7725250.8007377,114644514.941724,19120272.8208681,65070567.8799871,138899336.247769,122177267.762138,360461978.902821,261781058.714042,308200772.480993,100822777.947475,134848515.689776,127405194.202269,121637494.546705,101817134.333429,111806970.048219,28754110.769885,101298989.559037,233515891.732548,75764951.7335215,94008675.285638,55969245.4163876,47217302.1847925,111486281.723176,69510572.5696215,131968313.748056,285975716.575044,108857141.144301,33357937.0696644,309439989.752938,141444057.204909,96663495.8418196,248321828.115493,79467680.6058205,40121611.2920239,31299820.6016908,73023061.2917746,416632096.975199,21953641.1059032,180212890.671251,140172054.176801,144265881.592721,59647441.2419144,119008180.473098,31596552.2875369,87120185.2896387,125474286.370784,156782711.451362,27703297.8217988,5605801.83976107,204958548.305526,77725232.0065525,59706156.1540504,224055714.427096,52074760.4718247,111362960.191798,199367377.725678,197219047.113736,5926152.43424604,133802257.800335,20247486.8967175,32347654.3323471,167643568.918963,308471763.100901,80485958.8108448,44939124.5110206,54674031.8512102,287377382.745317,136362993.273122,66115244.6395911,67203878.5345635,81000733.5570749,61057808.1591758,38092067.3159003,5377729.70664528,36768533.8279194,216831304.889879,39374761.4132388,87002070.6955204,258073772.056803,75801033.6651389,104896451.398282,107058130.297628,156473996.381979,298244320.007553,136851631.782473,69353451.7554779,20755053.7448368,28874927.4720429,61301446.5315332
Acetylcholine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glutamine,41425679.8998052,21722866.696995,30256262.3365767,36481984.2924759,57391675.8046399,29841711.6632886,11046363.8717536,39792555.3977056,32081415.608075,23331801.7433956,91191185.0887422,42757777.7575002,45549516.2489504,22700428.5694975,27736515.8269122,34425082.9070678,59797257.2169577,38612072.1772811,48495568.6881526,15565979.0978176,23668413.965076,11804822.7548828,42853073.399505,16219072.7371386,18949279.4649063,28419239.2670789,14021507.4156477,26026899.1278588,78857638.3429707,22654563.3206026,50413892.7098137,105083409.915773,12794626.6362329,26238665.4112686,15298051.8175098,13953542.2570466,20089170.2055992,17418669.8701625,33200488.8604863,16692455.5410654,63890254.5602644,55914627.2564693,21218107.0576156,23508245.1403466,13221522.1632766,56886155.5477285,24509966.9592792,15197289.1124134,77696557.5266983,8808543.93528526,15264079.9905198,82938319.0536762,11072483.0544033,102312433.199721,17083041.2262671,15110475.3189083,26650038.9146298,8841908.88710302,45826834.3471796,28457138.2596562,24653908.4202107,13822877.0314005,14170538.8410348,43131573.6774072,15792137.2673548,71189760.4859778,21670931.2647244,44831901.1143792,23834064.5403139,14017868.573977,35690604.0555475,46118901.7059218,26925113.9159999,16780459.5610958,78749739.3468427,12875104.9830852,33466972.4013872,54596760.6176732,67391619.8137749,18042374.8859461,26465348.6686246,22125974.1371563,21405583.4676318,38687825.36301,15623600.049779,23381839.5879534,16077018.5958924,41335977.0247468,67545345.6564689,26329152.809837,24863537.4294004,32442692.1113871,71422749.9446948,30638694.3381468,42904562.1326064,7150474.95430906,32344777.6924198,4276946.92211652
Lysine,83505553.9916347,10531063.6370648,112537626.189212,86274641.0117153,77094625.3602376,38915544.8812803,17548980.7063591,69467928.5117478,59614814.1976915,4645545.64962698,213987871.24245,834919.920891318,8230722.62934595,30938401.8357545,94088041.3027876,59926783.3535294,105618160.373264,61543831.0661212,106697372.333135,53492824.772266,72169628.0066758,30596451.2376273,110548942.67084,52485814.2884715,17171743.4008038,46459091.7048256,34810610.227413,80011822.8945909,127053261.990269,12869340.1070686,4087513.39889389,107799759.714215,25355885.2330897,23962685.9969803,48357316.4729013,27851574.8615145,17047425.7990961,44438777.2800933,80617537.4314862,41285331.8163268,118712513.474852,108091047.719488,30057985.6866181,30748604.3076232,40276285.8548035,214804096.137657,44261956.5909612,28807527.2873854,240860859.810961,7352435.92323846,23853054.4734731,11561356.1035415,12207717.9728144,222266134.1735,52391597.3686343,29320609.6362611,65973585.9729,7035980.17729727,134375820.909745,9152124.32351914,36782340.6939154,11921255.6883187,27693613.2483029,36575292.1315267,44743508.2603301,79858258.3436203,13193602.0132388,69195767.1165059,33744867.3138973,14105792.9256575,80608678.4817706,46881987.1650647,47518427.5557792,4146017.03466039,32525686.1952202,55903377.7628003,58916631.832621,58322792.849338,52955824.8836456,7156129.55496806,22721185.9777194,16044299.6401424,15101960.0879724,111370876.648948,32760963.3065991,13942146.3676247,50261593.9606691,121062549.681573,17275932.9540924,99237715.6203893,72729679.3986448,69126436.976898,175713429.71556,100437746.616187,100485091.229951,6075089.31232631,69595563.3246953,15025872.9355477
Deoxycarnitine,1860651.70551963,11233553.2714125,5017444.86073584,8304772.53594984,7585750.20369401,3164806.29284016,282388.431296816,4252269.18820465,4505976.00423587,220151.956170188,4297904.6913419,756875.229973363,2318255.82422114,4815681.43153045,4170556.35701708,13362023.5155064,9602692.22493654,10994862.6869975,3807631.14898621,4674514.88050239,4497118.19348266,4289263.81905263,3554665.03853606,4076213.93766314,1021694.27306538,3736912.37752073,7696074.2595027,2482447.01787925,3373769.75751949,1934349.88583878,1716841.02026744,4140371.87814268,2357964.22940983,4807811.09682287,9839511.18812694,3765208.15070841,1134674.31366757,11254103.2656955,5080001.60395323,3427916.11566919,8859739.93102289,2740720.94208149,1323694.50365689,1052107.30675306,2573823.50339455,15736412.139537,735522.736058991,6395768.81370483,4920938.41148613,4656650.32490039,2113415.63553729,4145570.55660196,1179860.98440291,3086400.93147615,4384563.72829951,5579983.332391,966719.9984395,202603.722688249,7148317.49887476,2637533.38937086,2144587.88087841,7687339.07290532,1837586.03707689,3776080.13668501,7276091.6935837,6726963.41043677,208439.71795032,4647268.79592151,687179.381291232,1065425.70964672,5919157.96944002,11220655.1202507,2941861.46094907,1511876.01897038,1956602.75957253,10348751.2086548,5128000.87622056,2325404.05099023,2444787.13296217,2805487.08108575,2182576.7400673,1296855.14473,188119.888990783,1230438.43511257,7716321.86596389,1429670.63024384,3153184.66364986,9495558.89991876,2661615.71743951,3918149.5122398,3778498.02285363,5212892.4109731,11208435.8149036,4688056.67526672,2527402.43382126,674235.065287226,1058975.3186972,1991522.79931973
Glutamic acid,81590348.6459313,17364749.4639834,98002366.8083053,34583828.168028,182667514.386143,42788734.7436861,20383010.2213497,71163325.4770835,53682589.0539344,27521622.3019813,179337877.630669,1615657.16286881,80383653.8330642,18652298.7223646,33436365.8149394,24962945.5309192,120617557.287055,68933682.5814468,99995341.7303664,21096384.3051631,21440131.183377,15497282.0743572,97409100.9895669,16885464.1105532,34737879.9862939,42971595.829341,14898646.8210842,41971345.2352776,125513284.199108,43795182.7818559,59437194.5956651,165278398.997963,11583957.4463895,31377580.9102403,14440343.2151681,13748329.8405638,28279355.8173761,16600359.8886573,43485632.0877812,18455209.0456193,102147103.038822,90379346.6662231,41266405.4301399,38110913.1519446,12063701.8065488,97575414.4109099,53049264.5848464,20538330.4677882,198725410.832582,8731528.99969921,18823480.0060896,164472413.334482,17892199.9755322,158963324.652189,24688115.4612875,16834072.6815813,35729504.1701616,19410430.3836894,82535523.3931877,60435145.5072948,32673209.2249293,12619343.2187169,26581569.6354441,84146357.1047695,20465170.1517684,105012079.916398,32186682.4959352,81742103.3157118,42218692.483623,28193916.5304023,61429465.5055842,70126670.3700822,56563976.4150032,23226040.6806893,138543056.848972,15337957.404667,54699303.4856141,82154099.9136938,151774933.400665,45299791.8175978,34046747.8140828,28428232.5285517,29783416.0708516,26385479.9406074,16208344.0636668,35273383.5157668,23176882.9124211,67839515.5361393,117711421.020943,106559708.915796,29035817.8160172,43276545.334876,164672294.775927,32234267.074865,111131458.411002,14184481.1557255,98636516.8887348,7510192.6751306
Methionine,4052785.2413077,739250.825784641,3542019.06269021,1640926.34081858,4882951.00638569,1484732.75593875,308411.969930762,2063804.994864,1610978.77126205,95256.3663992307,8447879.38283053,350976.973758475,4419124.23842698,529318.376711912,365317.905551616,805608.564679079,1959921.8212928,1572000.42880962,2839340.85126496,381099.70623633,687941.635650242,596444.148602902,3290149.32316417,780105.853250162,1698512.78308276,1459973.85465656,670759.517807057,1032617.43654889,3479141.49604916,1275564.68562498,137093.948959041,2934336.34782067,265202.9313184,191290.114943941,413047.489226026,107382.813530899,958989.337761248,555239.533103162,230492.078178664,490810.387144229,2017125.16760769,2592175.67253484,1735918.79134882,1216981.83931242,346809.661942754,598926.850247536,17653.3773181645,574485.61498807,12135268.4348537,97364.0203620111,334715.587179618,6690215.90764077,199287.503644612,11479212.0940243,678913.196650938,178356.232589196,1951793.21565519,735514.429998679,3033414.18190644,1438027.15735294,931725.032918808,309734.768572389,912105.362253529,798017.592327572,649100.766036837,230437.030842844,1207823.30451866,3007499.03661571,982001.107634752,701173.949099102,2063874.34688604,2279218.49038926,1708003.97839863,1666997.80532156,264024.338572302,522289.250894737,1520493.795143,1446196.32663346,8148443.90737386,1412364.3913923,374158.049953968,775392.372400842,264472.865792655,769834.822224678,368247.245239749,591897.287860181,410782.359115038,3237804.11078527,5431758.10853026,3211014.79825526,381089.043289698,3069010.70446202,7072943.20299692,434943.789392116,2325043.41148229,,2774244.01506232,317323.661213038
Guanine,907715.021624045,7034229.17644623,1526261.11129038,727015.071464047,6158815.43536077,510221.702667124,28373685.2650008,488476.691784159,16526790.7291484,29622746.3481641,4194984.19551262,196512304.963939,69311056.7379164,1088697.99529723,20350786.5687362,796753.544068518,1721625.0205819,601365.390228152,1602163.50308646,766769.71261009,4414045.59118335,383548.696484992,5002933.09359487,204456.014196238,18531760.8313197,402455.352932887,302886.119036093,1402522.50569089,809040.765248215,22173089.8677743,33785544.9232661,2823963.07118843,220256.092408445,848693.032349399,4789345.52888644,346254.899846628,42580824.2147078,5003882.03904794,307022.836333659,1388908.57024013,806020.714383027,4194407.81903418,61291569.726923,51903640.2704855,1043809.62757121,2393971.3721832,84458213.86471009,187511.896262628,15364561.7567336,2516696.11132793,3598204.65024291,121361387.470617,2495219.61801946,3124440.91562451,1936963.90238957,670445.117507804,42979707.4977785,15566970.8940642,2178237.43392336,43044271.3148732,958870.47582728,2300648.92598412,839879.49251828,3612300.25602675,174011.150657292,18962828.2374901,18532462.4617619,691134.813022393,60945866.4202332,20289630.0850215,782364.13813543,1838203.46415474,1998701.81386774,16093280.4284661,121689469.995259,4586156.00359952,17165758.2782594,122372122.145133,69841839.3402368,32534073.3060954,1700980.51554308,38053622.3263608,55799343.2813692,6019458.08802367,305658.335535845,41359846.6177171,1327977.62902774,919532.758457234,30285319.7243689,2242965.21663534,1614484.4593135,663648.498817208,4039389.64412243,15313435.1700023,4676207.92747309,8392946.3382003,61324302.6197881,815114.632749107
Cystamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histidine,30409504.6673958,47514032.3744958,42410041.2899105,61312942.0864712,51827199.4411973,13232801.0508629,12220800.9718332,18486643.9017267,30061488.3647828,20253316.5744702,105447291.310039,45293755.9773578,50991575.4609233,14194466.510331,29584128.0389261,33524822.8757011,37567668.680589,20689357.2098655,32675438.3819468,26698594.0602088,18637597.8978413,16573383.9049906,43668868.9717301,17298343.2125269,13993638.0349642,15219208.9861993,12690481.35319,22117181.9813935,46410413.5141757,14609602.9878632,43289443.3622993,66529304.8299144,11065775.0467896,28236491.6428741,12022164.1933694,9632687.19883389,10815694.4486633,17695714.2526158,35025867.5202401,13791558.5465905,35872158.1155867,34538871.4640512,19679133.6000921,17071013.3956262,10175460.0153267,77450740.9746594,52073433.4342358,15821370.2905823,132239677.198883,9768241.46260548,11238093.5286651,124490297.601789,7950655.24082319,126588183.063536,21160388.0652985,23005250.5923565,20999063.8528205,9384917.35829449,47070515.8963342,27720670.8048204,14546998.5798817,9331974.50491718,9833699.48805786,20040572.9292014,17683314.2157581,72116900.0170604,13997294.2002194,23500508.1368032,23355734.3790223,13388603.0137228,16383074.3010981,118548626.250665,16819711.6425693,16410148.3019209,119860403.957985,25217535.0373791,30140369.4431496,32667998.4653291,77783115.6396456,25694785.0600305,29870495.6609357,19547185.8486807,14520688.3841821,18175214.8506463,20013534.4686729,20820904.1015892,15109274.7607293,35802221.7513223,91044518.3837927,40267534.1516917,32416625.8927128,22199425.5329493,68788378.4927149,21246322.4183862,31101514.988626,7984579.55974626,39115375.9050951,4219533.94356761
Serotonin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tryptamine,22726620.53171,19841440.6029171,62249171.0294869,12555111.7567336,4956747.31603976,25314250.6764252,9111460.63260142,12308862.6334448,30752675.1348118,12303965.8962206,179085765.207419,10368250.7451886,38981911.8679201,21214674.6444321,57531888.7483242,18380379.650036,53037949.42605,32663299.5970852,23971596.0805265,12522410.4177821,40646341.901451,22658540.647809,99487213.0555487,37333997.1142042,20786767.671521,17352767.4995724,13805301.8506099,37592015.4455381,35185709.3867393,820946.419902007,9679592.01759072,15187169.9549352,12133844.5887829,44969852.2002521,19507223.2767997,32968012.75703,7623241.9383713,21727574.1903308,34503202.6458636,10252335.4484323,56798499.5548464,24714588.2302777,21127901.6925979,25696123.0098859,15634618.0426877,117096346.085194,6913498.71166599,9266956.52799156,63466792.1721132,15401732.202324,7332009.6020133,13137332.0045345,6940300.97207396,148780120.622454,11223077.8385574,20419853.5097406,36878640.5438326,4640583.318007,69016638.1759814,1107232.91268173,2423108.13126765,9967072.49299031,1116872.75591073,2249052.22479174,3287889.76839029,89972168.669576,10583966.4699513,15436589.8324544,17249957.0071956,5019848.35404477,82239131.2573846,9808722.94714441,47539670.0870413,7719711.75966644,16868076.2029714,37353022.5571458,35105525.4462421,54462138.6816735,63622343.5772768,5587379.92079739,35740862.6899791,4063447.72961601,29839745.1773713,65607863.5669946,20021851.3055948,5479791.20416963,15113307.6596188,40628791.5939098,9176815.79107364,34365001.7571234,37632976.8041227,10841693.2763047,224506554.565173,84406341.9627205,58840268.8059715,460590.331531209,59186333.5736911,6550833.26531532
Carnitine,11722211.9512087,34281036.8578574,8808655.42314115,62541740.3411806,21158433.2617873,6536699.03849094,7345712.98448329,8345717.86918363,20116342.2683849,12292594.26566,17448450.507827,13162106.3209907,16269480.8903711,24639207.0562285,43917454.962667,57022874.8602315,14476915.5410228,14796922.9795575,22521152.360348,31657746.6533344,22002740.7801403,34503472.4113739,9207999.85658544,13774635.7661197,9897625.51339452,14268520.4009508,21423401.1458939,13058428.0060088,22627049.8302497,7458072.08438052,10383849.5724929,26970216.7555173,14957120.1298366,20732016.2195733,29458784.4627128,9336438.70817618,8527282.53699236,37783468.5177489,39996829.0272515,22382418.0897834,23120720.8204735,14325694.605948,8064362.54019976,11716382.0511384,15855246.3219702,66471908.3107633,7303804.11581306,17946402.3497714,11784534.9107908,20466276.710116,38196860.6540251,37741634.3058615,24142210.2362432,17496412.4008186,47987741.0194866,37913738.4348007,9937142.28113175,6255647.48800853,15608310.2953291,13354527.0836515,4129762.48785988,23870481.6984032,3880633.0735206,21911234.1001146,32011622.0751199,46789452.0777925,9306966.36196998,10956923.7205302,7521466.69235236,4911841.05717955,7530600.90235723,93931237.5152533,5481789.33016447,9390180.56734666,18526179.4107099,38334255.3280854,21661701.7454867,16448166.2437468,21115921.1182615,20860439.6966378,46577944.8602738,8140722.67297849,6153702.73385055,38923729.1958015,40143215.8959441,8961824.96031379,26635669.9680508,19774051.0349876,19458801.4548863,6273291.48023423,26282386.5791969,12021017.4399801,10531236.9787733,36766597.4396416,7237181.11679303,3800334.53103766,21185635.4598056,15091838.1089842
