"gene_id","protein_match","POC-201-TP1","POC-201-TP2","POC-201-TP3","POC-219-TP1","POC-219-TP2","POC-219-TP3","POC-219-TP4","POC-222-TP1","POC-222-TP2","POC-222-TP3","POC-222-TP4","POC-255-TP1","POC-255-TP2","POC-255-TP3","POC-255-TP4","POC-259-TP1","POC-259-TP2","POC-259-TP3","POC-259-TP4","POC-40-TP1","POC-40-TP2","POC-40-TP3","POC-40-TP4","POC-42-TP1","POC-42-TP2","POC-42-TP3","POC-42-TP4","POC-52-TP1","POC-52-TP2","POC-52-TP3","POC-52-TP4","POC-53-TP1","POC-53-TP2","POC-53-TP3","POC-53-TP4","POC-57-TP1","POC-57-TP2","POC-57-TP3","POC-57-TP4"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15091.t1","DKC1-201",723,535,931,1205,496,323,979,1880,719,1100,720,1484,557,774,1118,902,514,1161,975,589,510,723,647,953,809,762,719,382,464,465,706,329,419,777,1120,724,726,783,1316
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15359.t1","BRCC3-201",290,213,92,270,244,99,169,235,244,473,173,107,165,120,217,103,288,133,243,158,74,201,114,202,246,188,54,20,330,271,315,150,114,259,168,156,86,302,226
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15486.t1","Kmt2a-201",583,789,274,1225,898,91,379,1016,386,1066,348,991,743,482,921,1290,951,612,688,563,470,1032,677,620,568,546,115,42,401,871,858,1098,627,1266,355,946,480,1328,1032
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15496.t1","PUS7L-201",24,140,17,165,102,0,103,104,51,109,31,24,24,23,74,133,111,39,133,32,30,119,29,16,21,26,20,0,37,54,85,107,27,49,23,43,54,82,69
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15513.t1","CHEK1-204",20,66,37,74,41,34,37,75,32,225,38,16,38,17,77,106,86,101,173,7,28,105,20,15,48,4,0,0,27,103,77,38,32,53,25,70,14,82,155
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15622.t1","COPS6-201",249,493,126,316,153,13,205,511,279,564,201,325,216,183,315,258,455,179,453,180,151,238,331,295,354,203,133,0,226,306,414,213,205,452,358,378,105,356,353
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15729.t1","ZC3H13-201",1617,1839,2946,3381,1921,1354,2437,2794,1598,2915,2168,2354,1959,3284,2686,2147,1453,2902,1917,1393,960,1526,1402,1473,1597,1479,1484,1192,1010,1543,1821,1413,1123,1890,1410,1436,1530,2150,2017
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15886.t1","DYRK1A-221",676,662,100,198,360,40,226,1282,860,610,177,1023,462,161,285,526,852,227,445,1009,685,732,833,1135,1216,765,81,28,502,435,574,627,682,488,153,688,227,618,727
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15995.t1","Prmt9-201",2032,1634,860,1900,1202,562,1285,2624,1421,3371,1247,1956,1588,988,2530,1636,1889,1717,3095,1244,1376,1835,1662,1230,1789,1537,365,237,1280,1896,2888,1719,1603,2293,1600,1824,827,2275,2324
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16000.t2","PAK2-201",3354,2106,923,3013,1505,614,1872,3338,2707,3762,2196,2564,1930,1573,3243,2213,2444,2515,2967,2557,2728,2714,2828,3783,3540,2419,903,393,3524,2179,3648,2445,2167,3347,2964,2223,1559,3216,4677
