Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-262-TP3_R2_001	POR-262-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21550471.0	3.2 Gbp	0.0	150.0	47.0	18.38170990830131	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-262-TP4_R1_001	POR-262-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17498161.0	2.6 Gbp	0.0	150.0	47.0	18.313172146630986	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-262-TP4_R2_001	POR-262-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17498161.0	2.6 Gbp	0.0	150.0	47.0	18.433115721566978	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-69-TP1_R1_001	POR-69-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22145299.0	3.3 Gbp	0.0	150.0	47.0	15.489992946871176	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-69-TP1_R2_001	POR-69-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22145299.0	3.3 Gbp	0.0	150.0	47.0	15.28313701862528	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-69-TP2_R1_001	POR-69-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20128579.0	3 Gbp	0.0	150.0	48.0	16.2763370073887	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-69-TP2_R2_001	POR-69-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20128579.0	3 Gbp	0.0	150.0	47.0	16.304986129862822	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-69-TP3_R1_001	POR-69-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21158221.0	3.1 Gbp	0.0	150.0	48.0	12.331194440549037	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-69-TP3_R2_001	POR-69-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21158221.0	3.1 Gbp	0.0	150.0	48.0	12.501121632702247	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-69-TP4_R1_001	POR-69-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17398308.0	2.6 Gbp	0.0	150.0	48.0	13.819757335264798	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-69-TP4_R2_001	POR-69-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17398308.0	2.6 Gbp	0.0	150.0	48.0	13.719797620230215	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-72-TP1_R1_001	POR-72-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16412543.0	2.4 Gbp	0.0	150.0	45.0	24.788169698462255	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-72-TP1_R2_001	POR-72-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16412543.0	2.4 Gbp	0.0	150.0	45.0	23.929235420928208	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-72-TP2_R1_001	POR-72-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17440374.0	2.6 Gbp	0.0	150.0	46.0	26.319675708890532	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	warn
POR-72-TP2_R2_001	POR-72-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17440374.0	2.6 Gbp	0.0	150.0	47.0	25.675057533889383	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR-72-TP3_R1_001	POR-72-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20740212.0	3.1 Gbp	0.0	150.0	46.0	18.481910888052653	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-72-TP3_R2_001	POR-72-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20740212.0	3.1 Gbp	0.0	150.0	46.0	18.065674619000983	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-72-TP4_R1_001	POR-72-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22741315.0	3.4 Gbp	0.0	150.0	46.0	21.532795584816412	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-72-TP4_R2_001	POR-72-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22741315.0	3.4 Gbp	0.0	150.0	46.0	21.1860132307456	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-73-TP1_R1_001	POR-73-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20369326.0	3 Gbp	0.0	150.0	48.0	13.501759200138663	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-73-TP1_R2_001	POR-73-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20369326.0	3 Gbp	0.0	150.0	47.0	13.565434466943346	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
