,POC.201-TP1,POC.201-TP3,POC.219-TP1,POC.219-TP3,POC.219-TP4,POC.222-TP1,POC.222-TP3,POC.222-TP4,POC.255-TP1,POC.255-TP3,POC.255-TP4,POC.259-TP1,POC.259-TP3,POC.259-TP4,POC.40-TP1,POC.40-TP3,POC.40-TP4,POC.42-TP1,POC.42-TP3,POC.42-TP4,POC.52-TP1,POC.52-TP3,POC.52-TP4,POC.53-TP1,POC.53-TP3,POC.53-TP4,POC.57-TP1,POC.57-TP3,POC.57-TP4
Xanthine,4707110.75056514,15693252.0475534,2253962.3989915,6252890.94870086,2865204.21558298,729224.967903112,5046791.33894394,4563729.63107061,2884720.21278354,3534038.50243427,6142053.5115036,8406774.99930157,2391677.99086127,5573901.72698179,1011806.3228944,6465602.29400851,2343995.75377949,13596157.0327161,10636773.7403123,11320159.0795004,5588803.31153189,6381814.52689964,7601176.50343043,10260052.06463,6849296.20688952,8434755.38548127,7637321.28948725,2503818.1262761,14128049.0961286
2-Hydroxyphenylacetate,73071.4620873359,69626.983787583,38816.9558856202,45972.2865565665,28640.2138571998,49272.7970368787,66924.9698324039,86869.5003124551,50791.4109905375,64474.1381313527,48817.8455377184,80656.7679461719,42086.8224082142,63839.355012995,36714.0070991812,43784.1317844229,27051.8666797828,62104.6585790022,80693.1666102494,85095.5654654655,53841.7062144726,55203.0938104154,83794.8545107635,56654.9648521736,71055.2573607471,74934.5695836151,54545.516543985,56529.8757391012,51840.9677829875
Arabitol/Xylitol,46261.5398042617,105220.78371828,62628.3103109328,113981.281204656,80687.3156954074,45905.2920748245,81138.6876286821,185547.245219325,78212.8636688973,111635.061164258,136388.866255725,59262.1526535984,86924.119847916,133442.902513657,15735.4401957326,50811.3310328197,68130.4901958662,40376.7820410911,317431.541841919,99620.433269708,84349.9171615364,64904.8138461601,69544.135764157,48779.2438404133,180422.150784127,126280.364235345,112675.0471336,58273.6661492149,208375.733858995
3-Sulfinoanaline,6908.74439970063,13976.4094115614,0,7468.56018011234,5949.69729537907,0,6925.26141651621,5115.40681261588,7396.82347243445,6307.51174957492,8512.32186529383,5731.35081498623,0,5617.36133901602,0,9087.97469879119,6929.39417831177,6264.0046200816,8945.41030326036,9154.33716300227,6534.82897112014,7142.88644342517,6880.82892930889,0,7632.10137071726,8262.42200292401,14682.0056404324,3910.66319467864,20902.697673598
Allantoin,244681.276967715,506375.244947303,189102.483986953,326758.906379674,119387.470813444,85935.1965798333,434906.719130061,289616.645404448,271310.942259328,326640.260971224,295595.622769428,784402.560643329,313337.012067308,697922.646600246,211728.543016967,350757.655807288,103268.373902622,191652.419079621,223592.286446377,455831.548789415,152985.064150164,454173.804074138,240888.383401684,923185.605415034,554123.58995363,306244.643040616,307521.490607435,248259.246139027,599343.92370215
2-Aminoadipate,254195.52063497,167606.69087377,114745.111657626,154259.781571753,228144.570091026,96073.0084817896,174352.684827993,607317.903615971,115870.469248084,94100.6645116766,172354.963754253,248603.289374207,93875.9421346406,210951.082444265,64201.3600518353,160852.475075001,214004.832400242,185100.23729381,325351.376152724,752347.146407569,101116.400430477,158477.27259577,289568.214857812,1243327.13636767,333726.46656183,791600.480312732,89410.582440548,77704.6477256286,65577.2403525811
Indole-3-Carboxylic Acid,45146.8341509042,141277.465040049,28478.2227885083,47413.7580080821,212051.255579158,29937.2213026491,89208.0619163095,209326.056684047,44985.5784294766,65699.6252317221,35492.997885327,170813.141430052,22530.7975603957,55851.8826997391,9782.12841920782,80084.6474384533,28461.9115586559,212131.91010387,168310.790020865,87559.9970922412,29746.7284624274,80505.3235142697,193618.586271819,10304.6705106245,108680.807270798,113298.558332704,44815.2449766454,58876.6860689398,59345.4174405155
3-Methyl-3-Hydroxyglutaric Acid,0,21568.3813049153,0,58268.7549111391,80442.262342102,0,22291.3475183071,14176.9835933596,0,18940.5534585978,81061.7722292477,0,145356.218581597,20348.997454484,0,13243.4027509383,19733.7023444203,0,59617.4276863636,0,30711.9038231422,0,0,1490315.55829683,25294.970702039,63304.6498134977,9435.00686131254,102840.893422088,1018187.6190035
PPA,19836.9400204633,86700.4132800252,0,69045.0239712268,21784.9335633788,18895.5849342333,0,20485.7548634838,13340.9580405632,34066.0206793296,41141.4687315359,64331.7193251966,17373.2799988482,16616.9415881675,0,32054.1589287691,10136.3501133535,50394.185758027,190373.609472177,24798.6429739429,14037.8933734901,30970.4039871474,54335.3096496976,0,28956.876673393,44387.0948589264,14980.1424845548,15355.760450595,22077.183785107
Phenyllactic Acid,2066555.92650803,6797323.37288549,4537752.39658166,8364494.28791069,4060919.40956623,3004920.14364714,3650457.23882578,5531037.93055944,3756487.96326248,6117811.10744346,4392793.37316473,6506437.57893983,2582369.21980352,5542155.05426373,1294359.28165948,4173732.43811187,3058198.94254158,8574682.48873459,8404563.90581383,6479315.03662949,3676000.61680941,4792088.90052424,6836582.47737987,3748516.93022561,4051687.74904867,6259232.29444559,6770886.7703674,2684413.3226004,9019102.1755894
Urate,82882.7530749137,347582.057514784,133096.122629155,239869.980878873,112741.81735116,57685.0789982343,434102.591067705,194293.806224784,105755.341305819,228883.607618833,193072.040857108,120098.149942564,242945.188918454,227490.387297843,63682.0391273745,139173.97492211,66458.7068935693,97669.0172013824,124834.90559824,232868.03806156,89131.8096089427,214712.489538932,197549.491029391,196230.278650976,536697.273864566,290411.626784573,131220.370922787,211769.181594089,173236.869110805
Glycerol-3-P,15841757.6454348,150871732.764381,50059041.6607452,106369211.344824,56861132.255774,21056852.5181234,43156913.0044612,49180964.0901895,17053462.1454903,63848821.3299166,74181343.2160392,90178399.4117911,28520426.7907749,88709162.8334048,7181147.41826258,65553538.1647936,13909268.7758998,126907246.902038,128304702.043584,33879365.5276625,54295002.2346043,15421851.3196771,51454453.6925835,1831414.68579153,68871204.6951658,35458572.7717936,75874625.2075334,18198139.9797144,93950718.9809094
Suberic Acid,644317.850396547,643243.051267985,371407.86470189,657804.058086601,320747.263737971,392784.224536765,500473.355751279,756555.286533382,326622.897018198,418282.772213566,561799.345032138,402553.601362154,469808.428049964,526316.249195019,288978.843859194,794646.206457026,283195.824619142,435621.388580405,1193436.45921856,648514.311714715,530911.948515274,297810.041008526,524869.127222195,454821.399310148,1099062.19476912,656078.01898719,628118.22315571,591202.035637103,419411.398954495
Indole-3-Acetic Acid,49974.032345064,195314.904038899,39142.9063358091,109780.856499422,61742.5916766609,25735.4125683234,94454.3083223706,68524.8687287571,85129.0975410328,102843.873025949,100907.212017198,95072.2304260791,51426.2321015922,91187.6375531728,13076.1294358252,65974.9650689999,38999.4727549193,124500.94457974,163407.325243307,108755.980631093,90807.3609084848,76586.446294848,118897.362828896,59439.2677722081,104080.433118751,85638.7698989617,147822.117243854,43467.7325733391,102909.743703718
Citrulline,1663123.6997886,3635092.75953382,2739949.22280372,3865838.23453127,2925356.99126811,971383.657705397,1812991.83256888,1447737.90522058,2470701.21468356,1881983.85411061,1335061.89346251,2127515.60883365,1167782.90721013,2595869.87393489,668494.060825725,2650669.13734493,2235935.01364007,3117263.0948042,3961812.09982325,6430865.72941878,1666535.60399989,2470026.93881414,3990705.56957212,5614979.87871901,3167499.93427878,5973410.74204806,3998709.71360429,1416741.30034258,6423120.30886005
N-Acetyl-Aspartate (NAA),0,74294.9957861831,26664.4031898216,138591.365560416,109666.096943469,0,19133.7789926391,103319.466512867,59639.0624624232,40143.0583089509,102106.81874673,163845.303437608,36183.4008390674,56587.3612712254,0,39013.0400505342,26122.5202952079,66310.8816084262,98175.4233657173,55106.7124375897,36650.1977772417,48207.172264495,48554.085074129,0,71506.377472723,168227.377552712,70136.438374173,56882.6763518539,44510.8002668858
Inositol,7155913.44020894,12695475.7859763,5961979.04812515,7674659.61943157,20650888.6102865,4432692.01622549,5073761.9486413,6052721.89955967,7703412.34928418,5266455.59624937,5730790.63962413,15081928.2160145,1984214.43045991,8427298.58802548,2247337.02953103,6404361.67914312,13269520.6555259,18627262.3835562,14488732.9535084,35513377.2151691,5785513.17425,12754781.418363,22682936.208086,18033951.3897273,5366960.73340788,46793125.7160909,14165142.5510186,3448205.80536452,32604355.4701254
Glucose,313053.348277068,1058963.26663996,388425.322562344,749382.804018444,804145.470852279,249949.231328421,394881.654039661,391493.074174787,277770.088733169,539196.42860787,250413.697286409,1113707.08810068,248526.524626709,783608.932790382,150134.261938913,522980.2662795,445912.041973,1005625.85731575,1406626.74821129,671012.347336579,407949.068385808,908476.81181613,824547.155300081,733538.347778551,507823.856264891,1006721.70633438,944585.613333636,529074.84615726,658619.898497692
Sorbitol,54236.0618770828,30031481.4378883,8110807.69000382,22432071.2799092,25057381.0556506,5271082.71755948,26666376.2314554,11762762.5150441,277198.667576942,15606820.9610704,22790361.462946,166589.495081738,8329073.32358344,11366518.3063439,3013423.61990186,13353965.0266915,12232279.8502808,635916.463908025,37262731.4883532,569282.238664696,827105.966681204,14742905.3344597,990688.160184395,7693177.66572181,19127087.3608223,39385865.3562962,1252563.06945378,15469541.121889,4891435.73119436
Mannitol,376888.353276984,986673.251386593,471391.849967826,469846.672301796,375861.257052031,390830.250903498,397313.994529617,678044.012063287,958318.713614749,3424949.87834117,383108.871215935,3426184.83069256,79136.3348575244,2060957.85013351,304023.755551936,256858.959935919,249616.909914653,1363806.00876422,2794684.0381671,1701974.98844745,572681.551335228,821178.472372795,2754588.99429657,2751417.87966394,597871.836475617,916480.773976282,1281236.206465,126205.499183221,462364.848081921
Azelaic Acid,4409268.22460707,3555933.88560081,1463032.92084678,2474185.83074029,981553.186771102,1986987.71186657,2684188.09051263,4261505.13410609,1903103.65414137,2544408.73860953,2376130.73640335,2430567.60304383,1887943.37612139,2464529.46857368,1583733.13693185,5551843.81449256,1574108.25943212,2369377.01871585,5856088.02580637,3463789.38708976,2937814.07790677,1576236.37057024,3659879.38733864,1985382.52135881,4527530.36441812,5491067.50413636,3565045.80113406,2962360.82431353,1483527.71142321
N-Ac-L-Glutamine,195496.725942674,539411.92302158,343049.245569667,444176.898749817,422194.971921207,315970.509968235,410225.822744788,327605.799558939,351828.352821546,467741.01264675,382581.96273757,742758.825231412,194729.496937351,503403.078911984,74255.0188181711,642101.683367385,413371.094630135,991153.312536497,901165.936448906,813514.194488732,349038.638495031,415844.290734617,534220.141417386,731369.186376845,507113.574773341,972294.230633552,546551.1309411,264955.559521193,549450.647376601
N-Ac-Glutamate,41353.3302353253,128025.853565943,78916.7330305253,471107.289734162,257215.351000039,42453.8666346643,68513.1094129024,66709.7797313875,75276.403853716,114979.198836155,150261.682745019,67690.9386880374,49978.1725040629,56844.6963491251,0,135477.061885227,67559.3886136942,23901.4531671562,184510.980717377,90751.6330102964,32686.0990342579,352359.861842955,94338.6594263337,36082.1958359039,120380.210974959,272053.121388071,60285.2580569067,64365.5930134202,72528.8529521788
N-Ac-Methionine,1132667.28829559,2354125.31783422,2720992.98366436,669270.134876264,586053.76462676,1106319.31666204,1197174.49378107,720839.986317492,1699075.68665165,2789898.55565169,1548863.30399207,4921365.98219751,429705.041839017,2674648.02840437,648647.253539461,1233265.3143264,1828001.48668171,4128000.95977333,1877951.46241654,2011619.68113785,1614473.52917854,388226.214918623,2857088.91951312,1932518.07618346,1449001.84347015,1349815.37313226,696357.616712638,412427.423435451,1379409.90534771
Glucoronate,317525.613004772,490596.805839713,424499.705022171,436161.938405253,358983.417464024,298817.847631671,297642.573990431,198817.912052637,567610.368092163,342024.820734967,255584.724076241,784508.013124508,182608.031705442,671710.482478868,171350.393088811,246837.157534359,367337.51243607,1016944.77187668,1085483.56325916,1376804.43119496,339608.939487883,663563.894977705,522229.472219439,50476.7764827447,224611.178268686,663472.436495992,899806.759226111,202601.889576826,184720.464461593
Cysteine-S-Sulfate,941387.49730114,3504828.79753325,338698.775288979,2543669.25235619,1491551.29216227,424620.089547496,479101.566401655,635328.873050972,1100145.23860811,896566.881799495,913877.488451011,627052.776814012,585157.129777192,778366.530618864,108343.66860589,684269.178258878,1031198.38993395,907603.508618766,2491869.37876221,1528857.08219887,648947.538730593,813287.065345679,1265932.80414798,2580156.57922748,1376233.05030906,4316181.29090505,2120726.73330017,841609.518076291,3021312.50862634
Xanthurenic Acid,171502.602447502,56068.9714400225,148192.140484181,200011.812436568,58751.5585145033,173554.640994082,37207.2663775029,102344.089164818,269554.250874115,178604.974282988,146896.394937119,546468.281991634,116878.158165955,226777.590184019,77146.154605066,172389.387778079,109607.984594797,529601.927451515,324344.60993213,269874.656831715,248935.064486522,149322.422226257,213534.880827963,168280.70514666,149868.056389791,142043.081443756,297774.670070178,84933.8792445291,381359.75218802
Pantothenate,1726946.63735705,6472158.87692553,5249948.8127908,6667466.33931019,5818818.49679722,5130411.2176747,5706594.63077785,7685426.78282957,10563515.9834325,6563070.59606804,8190225.29336566,24083065.4173555,2308671.45237781,16492510.1755811,2492913.18931667,5051817.84573101,13165540.0379866,24330194.0768295,24401352.3734351,37481603.8211927,11179605.322463,13946387.9391691,17430555.3867513,15324168.9310512,5713079.64789965,13936671.8724981,20668903.1082826,3053419.68348553,29077709.8500825
N-Ac-Tyrosine,163427.434951158,450655.038278894,130297.741522719,304221.025675257,159806.523128579,146092.581301398,215064.07126947,196676.520403371,282689.90946315,381813.678139092,120927.612040184,151651.10296578,93671.8564099446,173893.773792846,33388.1418245974,251351.444112755,136134.708027676,491002.410512771,928050.85095012,473870.159794185,153454.0898711,662477.115928529,176034.57879843,64432.1663385163,440166.410295454,358307.521293831,261133.595215524,51221.5632657783,97290.2918688193
Ribose-5-P,4414241.76094781,12156932.017138,4013043.39004726,10189180.4207429,9932303.08096802,4122866.10337817,6229169.54116111,4668532.18552876,7877529.0428913,8232119.54653979,7540087.24790583,3136240.97398837,2053847.46948909,10383225.4701936,1725609.44871793,6286027.08224927,6677801.65451741,8842584.5490283,23243327.7704671,15799533.8229053,8853340.92602539,2626610.96930033,7847649.64778878,652740.776603366,10416334.7663503,14794077.6257776,20098899.0099259,3791883.07590268,700102.768523555
Ribulose 5-Phosphate,2615403.73434026,8589887.8408348,3718103.88008417,6297902.1441656,6770322.65618863,2923485.32713254,5547119.01778478,2996286.88261749,5246617.31706624,6698456.03154078,6148520.69479366,1485139.49486309,1771192.64040048,11392956.7145894,1195797.6202247,4751968.18906225,5714981.52229214,4807874.61359841,13539999.0442725,11481038.7779023,5106727.503993,2997837.36363884,4953937.47289355,0,9903674.21119383,16710281.1909514,23453024.8705745,2763521.70393266,116619.577928499
Thymidine,1054543.83726124,6284965.76520211,1092644.84877295,3425030.87684041,1612623.55264053,684032.819987706,3570898.42241277,6948328.3389899,1291455.66323308,2449000.89533632,3319347.87252079,20468455.8908361,1522051.83536397,1643672.58794801,776732.122958841,3306288.2776862,894964.645907546,7532227.97601006,8312863.63054018,3026944.1164171,1747390.65947327,5952080.19693721,6033159.56456138,1192627.2435701,1351420.45042345,2031928.65376149,3388772.85955775,2324084.9655008,2427106.35922994
Pseudouridine,132645.347306563,678958.342926529,107215.751443317,347681.778261027,81044.7787547183,139253.369886974,435515.443589144,188785.849867117,513049.448580763,1621954.65463758,213950.432830588,266145.635033617,81448.650147083,135582.583433079,36412.1326546561,113711.513776102,69192.5126653008,92271.8219878016,360276.508167677,172926.696233948,447809.439488624,241918.126825318,318825.592365089,2477391.82442538,412169.993784282,583977.022315894,2190850.98526437,160276.196287946,1419368.41327538
Biotin,4026052.35608204,15815213.1123616,6784477.22298352,10293502.1996791,6633324.08779601,2925700.06328885,5310785.03245326,6306787.13243349,6119380.15492496,9178981.82055755,5849771.60801995,9775076.72452275,2676508.40777408,6131036.93964291,1698741.0909329,4685552.04683737,5895258.49749596,13204895.4448455,11489026.5243914,16769035.8158737,6218349.47816861,8749687.64611489,11089447.2226278,18950918.7411814,6265471.60818557,15977983.907867,21069594.8814583,4744214.53787421,23772402.2955912
Palmitic Acid,157084.724742397,193787.647601634,165024.543505427,205863.527125951,186033.959929543,141698.444177527,171130.968258511,227377.371697139,206816.612812342,208032.359161366,274376.584994717,139610.323024457,226081.789188693,232960.618933781,157520.631820804,170305.784785666,147095.70280847,133886.199178256,195572.514655594,174716.260550815,244964.277595093,89330.0387123414,179352.86776845,70042.6334904065,192249.838503819,174030.068232706,149433.888865155,140395.361669069,67056.1290984844
G6P,226171.665917299,1163262.65571254,264762.898946227,1160633.27112669,458575.556746898,290021.089622408,310520.265010992,391320.186187724,252075.352760518,703348.679328649,491219.532396618,195711.198569781,172794.883935918,387855.905704946,52936.7537455407,373104.345829589,400748.163128042,282459.535347592,613652.517941208,832008.04364588,232127.413842292,156183.021226563,306181.652070424,1263344.51971571,662520.563228566,577035.476119364,678122.408985822,172332.722603528,1804576.06317429
G1P/F1P/F6P,0,2583740.16503026,675632.821195322,2968243.74676428,1112341.08871305,593080.63532357,546119.684162673,1143966.49200873,32448.7906946351,1058543.0644776,1135952.91509042,45550.6088466109,373509.600930494,501076.823403622,34084.7823554478,967371.896631676,946821.681709337,61419.8218364159,1996483.33844043,64726.3388234231,74641.4620374882,391379.634097597,71943.9253518852,90902.2810506841,1901143.40937723,1838071.34291155,177478.393106197,497062.973137632,110038.073215068
6-Phosphogluconic Acid,50963.9278364267,398041.784877425,40226.577282942,627083.050215866,169845.937380337,76384.5046112402,133839.032267444,91546.8408739219,230058.306700226,203322.859099819,99947.4952535224,55734.3887606711,52791.8660096845,144919.594910614,0,86817.3957533497,59886.0723788149,153686.280303262,374345.942205057,186164.158918806,45755.8018101018,63032.8101999294,218956.467505527,757544.839672306,209876.068768124,193325.48788841,329353.723562568,41296.4951911509,1046871.6513354
Linoleic Acid,117125.225311264,176188.579753608,147529.074608746,162338.758887933,136221.042737281,165337.717196139,160024.888301363,207252.459411292,146361.589686712,171239.520375231,184589.585709589,390662.803291867,119461.121501517,191014.674683378,96949.4153001094,137019.587477658,128190.664902429,181614.831721118,246634.697112068,159526.729601805,200936.634334155,115824.477160186,214924.978557808,62986.5001159388,135551.876718027,142112.601246147,182798.117362202,99197.9056312326,65603.4938895514
Xanthosine,1163368.71570178,3147164.1486254,1421009.63151992,1574621.64081288,632604.042234399,642579.532289684,1178588.69628515,1254506.61090827,1392316.41403272,2796883.8877078,965000.922649817,2169043.572914,420557.118845176,962852.752845101,388325.577548035,1062366.483012,601059.57544676,2799951.02332525,1798910.51736699,1630182.46731979,1744680.70980744,1890621.8388265,2198922.87834999,489889.033367738,1101349.37295861,1738084.37000022,4546559.80143026,750886.389162251,3789601.60868403
Sedoheptulose 7-Phosphate,92534.2985204566,249441.446584956,116412.811580698,285666.789623738,2790026.6663608,66208.4810935728,144670.547383866,110167.828796351,121754.389977625,233826.239638452,697004.064817052,104272.536997151,1584636.91702685,190637.590453395,39110.449601067,141521.322525141,118113.54695802,278993.507711688,346879.595782011,271484.475286798,160982.508744244,83078.6929807858,144811.876217058,768986.953272423,237904.500533121,219893.427481883,374849.371372584,2058490.50866911,634482.581464879
Retinoic Acid,1272608.38016553,1153366.10953885,728457.860610066,1870670.09473238,1620597.66287748,1104632.24592778,748266.693659131,1041667.11017859,1336747.57555933,1141978.79516082,914076.005966297,1217798.19231554,938305.301173596,697061.557061606,877714.434894319,1492058.32343837,1329409.78156158,970069.654102509,1523254.73197469,1594940.64023333,1148040.33148592,1755615.52426156,2111332.67392168,480931.60653741,1149550.9144512,2087345.47619058,1887025.91342367,1353695.97024985,803903.372437957
Arachidonate,27342611.2866955,31613513.6859647,26771066.4161016,31439970.8269941,32680341.5887242,27547903.6022495,32589529.2277817,29937895.5259691,23471619.6478527,27343919.4943282,23338882.3871208,31418522.96955,17970015.096085,30808897.8820268,22715587.6399179,23650851.5381263,18430910.7827168,40318815.0316036,39733594.1646156,34486384.5214065,26315261.9200346,10227427.1080234,34044305.8361282,8715582.84030096,27511582.8232494,41300913.6783601,29797035.4134656,17894518.7707711,11084591.0670682
DCMP,362598.124439572,1037244.89129263,357270.848823062,976896.463957659,609402.875267873,445826.905509288,722416.520056932,937279.697850394,330279.454653028,645497.188293656,376616.640747969,1369240.62730947,236571.447194458,590124.650444667,156180.476231124,816424.816329639,408365.270726188,1436433.68985193,2669968.90915632,940343.585618724,547295.471192583,455319.09523103,591896.903972617,0,549518.40207827,613632.799914238,1270746.57981696,511764.742169571,0
N-Acetylneuraminate,40454.7237855552,15721.6083072872,7835.35228015792,14738.9479381796,13282.1775222813,30382.910081756,17020.7245559943,9579.2371844498,44737.5757032162,11516.3377108003,10596.2901913433,21149.5682809966,7593.42264421936,34776.8910294129,0,8093.69160595347,24564.8549168419,16048.1981160131,21489.9422816296,37391.9415525377,21176.346474542,9060.96927851238,28352.6953741874,191444.917311977,16907.4092896673,33185.988849269,19999.3162006755,0,26314.5116141468
DTMP,2497287.28155887,8477311.48395038,2596793.91553798,8535290.22251488,4613527.82943909,2614796.29328855,5643337.28228348,6597547.57119067,2649529.54970233,4933879.08420128,3663810.32821656,13519856.3468434,2208189.67826365,4238226.39577338,885009.176060556,6566829.32863462,2142965.37926938,13070966.5622628,20898875.198442,6493102.47698936,3384869.15041401,3770848.01824187,5557607.19925961,154727.72037361,3989917.52438184,5769721.76355161,6845783.75626739,4655816.0950507,15327935.1568368
F16BP/F26BP/G16BP,35506.2913583267,136589.230547688,37143.6169341929,166771.497455804,124853.325881222,58087.2691008529,65485.1593136903,48978.4141035451,90398.9913938386,105624.212361323,70346.6801297372,76945.2712453705,35912.8440105285,95780.3966196169,17689.5665760476,51650.1087140593,40425.8420373444,113272.346929667,141231.228366052,89216.8590707771,82920.8330639099,21318.8178880172,61033.1253964376,874795.95618241,81118.134384594,56505.8159022046,247353.846980483,47761.2056766805,647124.967106417
Lactose/Trehalose,397058.695798667,314062.577984167,73513.5251126434,93956.7720865365,266479.130361668,396690.35473828,445471.479554403,489143.841410047,418995.496058683,183915.373576326,195214.278293821,125759.054985776,126545.004547234,373255.844491531,49327.5490111791,387464.405434049,546530.475822565,111014.565475377,515508.25153534,567569.584432634,319375.855842399,605929.837052608,600601.484858178,475780.749648623,288363.258807903,308574.857485813,584981.032367199,139118.431825068,609291.826612309
Sucrose,6680142.91497496,1439438.59480788,739353.336394096,2364839.36687473,389750.019460406,405533.411464741,1371815.82030676,30426546.7519795,1247749.01693597,3342669.94389702,515884.609390748,432930.310167702,3468591.79575425,718553.74912412,176366.967789826,1788839.91101485,686986.433238952,2570622.75315121,2354092.81861853,3163454.96755548,666491.282680428,1436101.64956654,6963980.08200354,1563891.14987909,1643326.04588708,1153936.60590033,565783.998624978,539195.179850353,11571431.1111745
cGMP,1192754.97573642,2647262.16234376,962067.953322284,1459548.53222917,236093.536534738,967749.223718649,1294723.86224419,262690.749247929,1344610.93027017,3730691.40292008,621314.033791707,241491.506232236,171407.822556652,173054.385612419,196110.127820418,180435.786794956,111205.830486932,213849.194153164,246387.953017355,362051.39248491,1451358.01779711,327364.978672823,833446.457920779,2632512.01796211,1012344.07958026,2046395.44364963,887737.100909757,944150.527949555,5932589.04332673
AMP,38622837.6428497,25492730.0710731,12334430.4574629,31011659.7889978,39866606.4842903,36992882.9680193,34457264.6929643,19217809.9033351,76230276.9093783,38098564.8622862,17061303.7996469,7223691.39018682,5998768.7672036,15551620.9767415,12755257.0764682,12360671.350227,41211061.4470245,17650578.9052057,36369296.6698748,94386731.5712832,26316166.7014751,14517895.4240103,23632204.0734382,0,44353705.4713006,41993108.8034787,96149809.6323331,15577767.1994565,0
IMP,6030105.55063673,36399605.3812044,2152782.62958565,37231314.6749802,12347724.9632534,3716702.78438692,9069411.85484101,6810215.6329605,26787154.2880734,14454037.6915769,19462451.1893337,2063541.35223189,8776080.65570198,29158000.4284848,489272.096831156,14972262.3003154,14051650.2165851,3257115.96811106,16337908.4011864,22827561.2064853,16607351.9689384,6496071.07695481,20548502.9335565,892731.680390644,29426862.4475912,78152188.4706074,35219926.9201663,9110078.68468123,1543456.89879098
PGE,447387.395342682,1006289.12756947,811275.269298142,1174558.56266276,667399.076072057,626962.469312961,792719.126063941,652200.904528668,648416.635723569,864161.794324491,644804.490399961,864098.905544895,561974.117003645,868802.327752079,437741.827047461,865427.895133315,684071.907114468,913937.948884676,1438909.54147868,962127.971060297,704875.00448384,916749.733757087,1167967.74205805,443723.456661966,706990.708930133,1012921.74785425,849441.6753094,609841.795287779,490945.540330494
Chenodeoxycholate,292046.341813854,191315.090533669,104834.502820143,512237.258152704,578431.764174329,302219.58185556,79696.0488158225,345614.693916554,252909.834176259,445637.152750233,275668.39217508,644340.593909821,225896.426996369,171284.717672181,109841.796427354,330332.762335286,298354.033005652,271016.202850192,534487.259023307,343826.54437061,392323.915673222,227445.768941648,394058.746734705,58841.1931285546,268840.76076408,441155.152391334,526925.218683733,334643.492964804,122828.324900912
gamma-Tocopherol,91361.2364693948,168158.864740759,73612.5076804924,188913.612160347,104821.788743523,118024.068960346,90620.0871879597,93252.1621928813,130884.788712996,135968.575614131,84061.8641840174,132331.68313279,93911.6547834078,120094.684434182,63459.2650030687,143045.207570002,100486.290011906,113190.222517598,202625.868668979,94688.040744205,107750.586671644,181480.630758261,187763.683518185,73223.0280421448,136086.034877544,176122.792738849,149507.515711741,148149.041458907,110486.617923217
Adenylosuccinate,244724.138925523,355275.649569709,179427.158294463,212272.131073476,212108.593559125,230530.905384232,241131.603380777,177443.198513531,280147.50004807,262762.225319609,233119.568525782,230313.260388081,137972.391400809,263598.531625177,188002.927625581,195628.76318561,193488.050795667,269781.021028403,199386.841611987,238869.612411134,302597.029606063,25916.0253091056,297800.777006506,137863.73733166,201569.818769659,323070.082989456,349218.367048359,159786.522360165,173961.727363137
Cholesteryl Sulfate,32849.9827912804,40846.1759227373,33279.2503104731,59192.9574664511,28329.6058847971,51464.3813814906,28510.3534393062,72257.6588241616,45444.0156877592,93662.4271869265,52466.3946880086,52178.6918769681,26738.2712866853,35175.4987611167,43565.890126447,58545.6383960851,34352.004545657,0,43110.4531314022,154576.470409386,48867.7744192548,0,0,0,26528.4774285893,27631.7918493795,0,36002.2197979957,0
dCTP,174264.676457655,155097.378813738,61886.0772762462,170836.646280635,115017.467066773,138384.286639702,228381.256920639,97858.3299427207,235612.337871093,294772.238991521,77609.81740633,20443.9800374571,0,0,13986.4140652775,11536.8068798104,17825.1456626881,29674.3499738574,193541.924887957,67691.1753855106,203708.300428413,0,23817.390464848,1164710.13304595,141402.986465608,110065.11625884,528783.036442605,317460.646868005,408112.765275964
UDP-GlcNAc,19969.4864031673,68130.2462078766,8507.33719682565,75300.1820002572,62098.626501848,14636.5411138502,18810.3270425403,114423.790455203,28332.1180301393,39106.0605632238,20699.2193187248,17075.0338613819,25771.0004273237,28382.0631495771,0,48249.2178683829,29828.5953628109,45273.4951250002,102119.96593173,75437.6325873111,33712.6532289774,14991.566403502,37945.2843478796,14276.2341108131,61742.1398527158,35176.4958279978,39292.3442914681,38150.3498219895,18157.5173970137
Oxidized Glutathione,778406.972279703,513678.15391046,2853315.33683289,292761.244295899,354234.79507537,721798.425904677,759999.003275323,143356.686014602,5248459.76469262,715422.85118968,707386.096758459,134171.91719349,207311.431747869,1169344.46605552,455304.074980879,518884.200008738,3294803.68147423,2305401.79579586,101439.951693931,4482007.15704302,791234.125907209,138494.089856588,867738.913751127,9518944.05558378,509603.882472872,424657.355939093,3498668.23881709,201556.059054187,11849145.5890018
2C13-Glutamic acid,71106924.2089068,57845322.7658633,63703064.7865549,54621109.3459807,62297531.2542642,67421183.1406342,71094270.2045171,60688408.9745331,53773468.137107,68365581.3457207,62603227.8374133,49477545.304119,64436584.6096585,66489404.686727,78725378.987878,53940334.4840307,58842696.1797091,46787611.0013104,49714241.6605957,56608137.067988,65161273.476642,242904.707397492,59151387.5769981,142357293.97278,63147906.6457784,54516322.0487171,51093849.1012562,75307096.4703683,114383715.54777
