,POR.216-TP1,POR.216-TP2,POR.216-TP3,POR.216-TP4,POR.236-TP1,POR.236-TP2,POR.245-TP1,POR.245-TP2,POR.245-TP3,POR.245-TP4,POR.260-TP1,POR.260-TP2,POR.260-TP3,POR.260-TP4,POR.262-TP1,POR.262-TP2,POR.262-TP3,POR.262-TP4,POR.69-TP1,POR.69-TP2,POR.69-TP3,POR.69-TP4,POR.72-TP1,POR.72-TP2,POR.72-TP3,POR.72-TP4,POR.73-TP1,POR.73-TP2,POR.73-TP3,POR.73-TP4,POR.74-TP1,POR.74-TP2,POR.74-TP3,POR.74-TP4,POR.83-TP1,POR.83-TP2,POR.83-TP3,POR.83-TP4
1/3-Methylhistidine,91773.0575762091,60080.69368386,80767.7053548719,68434.5651761149,79559.6273860054,71729.2802749189,62940.9120042191,47678.1942038399,271728.145176722,77930.8971530333,47729.8244362842,20293.5508239282,65615.8344032144,44924.8305544544,164902.113045044,90350.1191398958,121717.164924216,119329.096420336,964049.051273456,118501.66653961,56082.9078014643,192722.778061844,49531.0326530725,182670.107466111,50556.5268550778,66477.2257990045,229218.622306072,249090.705827748,276157.58756703,379130.303024215,86742.2721049509,307137.112599772,348431.349598251,303233.653258408,100685.39001762,0,53974.7314916629,53338.3430359781
n-Glycylproline,1236421.12553144,465857.174869393,1592000.60993017,684436.759322512,435362.36442869,327615.135280003,338281.251299674,344572.000180986,288081.627695774,398326.822019338,301975.442330576,592547.649365296,1230059.1257814,513722.109232824,1414815.46814646,242727.714951913,478597.715345809,303500.262868096,1225881.74173182,680078.88807258,518952.176502708,619377.801626678,197066.145622304,530397.624328284,175154.493666526,341540.973864306,249994.400737957,264506.968429481,237588.278168516,1498496.55840671,259217.524558041,374512.501013946,407248.784323836,550824.71095218,685822.059901361,129311.73111217,507003.138902542,1033571.12003007
Arginine,5388161.86152762,2591269.86188201,2638258.61342689,6011688.44725402,1898000.26278711,3057475.11068465,3993457.02267749,5518596.02239812,2377672.68834985,1873622.47271812,4704085.3072871,5921436.97242578,2290258.95457428,6797099.05314729,6000182.45126138,3683164.35628546,3815022.47559383,2229517.8216918,3842701.09665532,2987243.53606349,1905133.35865964,6248681.34895384,5493286.10795631,10425827.2374047,2660186.14006697,6668422.44374129,4504472.3113424,2752991.06990356,4750806.0653562,1915632.58070139,1592025.8768575,2412470.39882702,1691043.30239414,4911508.64062179,8087694.2510649,667940.610116459,2779935.81810031,2299113.22060143
Cotinine,0,3477.05154131859,43803.8649236814,4407.26383607214,3788.18642125543,4262.83649751384,2182.2278595339,2956.60074784069,182626.262444888,0,2181.16950883661,0,50928.6116134755,3269.36781859443,0,0,55582.6175088214,0,3208.33557481727,8102.26321183107,32152.706110303,4466.20943406314,3621.03117245058,5195.22705483583,41814.9286270418,3799.36953513991,5023.56922890511,3169.64265723614,21544.8875784506,5154.02310454826,0,7541.75150414699,174788.051145248,3158.43450015706,0,4755.4320011497,23159.2791963419,3293.61026560346
Gluconolactone,452978.307688681,15476.6488306142,43730.0385781618,13842.3384683784,56828.5454031826,0,218230.659854328,29251.0213018073,36113.0148565989,0,129069.347345321,0,63741.0859717787,15870.1671323716,146331.818935285,0,66244.186584121,31707.4750905878,1165805.59695977,200850.943244605,16529.462248222,59012.1140815644,0,556336.811143961,11450.5510936481,15502.1902452875,10810.0957824669,0,0,122583.069152674,51673.264864419,0,36584.256779193,108090.906789154,121731.345415089,0,14983.4906545358,0
Tyrosine,2293772.80962367,2482125.09687839,1198248.90416891,2325552.82661915,2030248.88502503,1575064.17866539,1735024.29417114,2003179.33716879,4622587.62423864,1745053.74345635,3005752.73051611,1758886.02391596,4220478.39255252,5603253.57513493,1950837.28327054,1353236.78122567,2541478.15753197,1491270.52337169,4819668.29611449,2312634.41848114,2027056.79099794,4552832.81931121,1203613.53978489,1225341.25538496,1007868.11320634,1608858.43805436,1248438.73281584,1766193.06073223,3664037.3601074,2130039.62322919,856593.883989462,1615094.86052627,2384770.32966614,4274092.29553311,1502215.82733214,640184.270969333,1522020.87442025,1266146.92163376
N6-Acetyl-Lysine,259727.752693782,396273.999564669,676085.491382077,253330.068432642,120274.492760763,78579.3296423879,65822.0646814646,92516.3218601126,94141.2042640006,107674.984292053,86074.847072823,142763.151782264,301717.548078122,263056.686365528,486711.236561009,94076.4039371232,146377.637096546,135317.390597743,148351.141328696,136373.644566547,106198.032236446,205905.823636732,96142.5669105088,155457.588185513,82195.7796688298,99404.0388357987,81248.3492528711,57418.6118458178,71228.3825151504,746212.452582763,59276.3982698776,51551.2047915988,108590.19652278,104908.689870816,74185.8189981023,43116.8921641183,105314.499578273,519357.068174024
Homoarginine,1935378.89995823,2453285.61020021,2688181.29787491,1028848.78815508,204250.464343796,275216.043199676,460875.467419048,892587.296743398,637634.82708656,380399.013241304,523734.123988647,373694.685794606,896692.538673289,521567.232231518,1305555.07784754,978824.458023383,858319.669129201,601636.13501313,2650619.13096113,890987.396753251,422850.897422724,1373231.19466209,437429.549004675,2092157.73786168,355629.203588382,759123.083840735,1722216.99734355,712575.682871715,1032388.98685586,2664930.74778984,590621.839526,812314.493441179,1025289.85398075,726500.590870247,1626347.42090784,383257.141232043,1134642.91496155,1409362.55823225
N6-Trimethyllysine,51257960.594873,69896182.2110185,70579588.3695588,25005828.5761961,4587207.64051372,5748528.34010195,9378704.89799913,20942306.3547236,12128458.5746049,8871178.40820237,6405715.82688706,6836137.26642986,20024062.1877702,10392127.212728,30336345.4425362,22589654.1372414,19097468.8531867,13743064.9794714,62157143.9802353,23865559.0558703,11020732.4104165,30688000.5360294,10113984.9458194,55552629.3921849,7388530.26405101,14629053.6582511,47313398.7941844,19723331.6720496,30777406.7314141,83152215.1131859,13712088.8457637,21802419.8560505,24380553.9367239,16696579.785417,39924408.1008522,13263375.1146497,29649110.8582687,39345331.1828703
Homocitrulline,472534.069273941,971001.125219303,684225.104209629,301998.645371869,225769.646375145,320310.359272361,174544.865717024,255581.778664692,709026.235833494,240760.154961414,289157.761282006,159139.287895511,263241.474186869,183370.575830021,102225.123059928,117568.664088234,129882.804457657,56351.2281179008,562324.966367119,142121.152559872,112984.999216293,308788.978247458,137046.153310732,140148.546093634,53055.5400980192,267362.280542362,100673.049337232,157083.084572391,160452.541812183,315784.289246951,158175.370844027,364647.975968664,587482.239354771,462679.749904776,144988.778915154,36743.6913486224,66584.7417866694,103587.918534782
Caffeine,80741.4770547251,19031.3994995856,132301.780139177,14598.4125363223,14201.248525583,13085.3286024685,17721.0611062659,18745.2441823806,326238.725853686,36830.7080060596,50579.9690247499,17467.2321236135,97740.9441470143,12925.044191741,21957.9180746255,17866.4582522088,126337.005190243,0,9556.48648704425,45252.1379994668,56329.9107458497,62486.0029412432,13528.3485705699,17591.3770158677,56217.5364988895,0,13352.6027626467,12130.2214798088,42306.8796248862,25796.3050001218,11048.9086192462,30049.5837618325,176480.483960258,12670.7642813491,9236.07933976492,16267.8841334981,43720.7409212695,0
Dimethylarginine (A/SDMA),17866546.2825959,14462506.4826515,28407381.6716604,13871840.1539242,4752242.53518727,3500777.69731682,11534739.1563524,18125949.2337685,5979328.37075632,4725423.29376377,6790444.40904306,6260565.58825142,16281710.553396,9714468.03289065,10998948.922543,9321182.15273368,13095020.0137853,8872181.44020996,161165717.846721,59127263.0361356,57706044.5739123,101350567.442903,7824936.63347621,15050584.6043435,6721446.40629161,12487630.2670701,11316994.6000579,13235922.4269673,12029742.1357006,28961445.7081687,8499832.45624319,8508498.62979081,12112753.3619325,19214153.0533857,15940163.5476198,2680956.67069751,11069537.7575265,17930903.3808164
Acetylcarnitine,8793293.61009522,32038995.8962941,29972863.1287691,19606034.2113673,5458654.79661687,16237519.0796746,7306519.78040494,37022409.1682281,39765102.2789372,13837145.9474432,6966937.44049383,12025238.5637483,8713521.28909132,10400757.3792376,5039309.93305393,17354360.9322779,13063266.5245657,5944696.44810445,1600790.39931401,11773366.4384043,32110612.4365495,21229918.8195787,10245160.7951646,2294466.53163218,13902986.0995519,13077144.5713282,24846797.3491257,23234383.687153,31165140.4665612,18510906.4953753,5575457.82499933,16191114.6314831,32597143.3893703,10306837.2376124,7573583.75229338,16391461.1319534,24290495.936744,17393346.3234355
Tryptophan,698946.011999015,3090817.28185763,1139152.59930263,1277465.9335973,1046254.92814414,1339976.33505864,1612378.84443728,3219969.63124942,4075553.55058298,610433.927758755,2786595.13810358,1424620.47073021,2106878.56434241,3131847.16366586,1501249.66107822,2041022.41111176,1798812.56136044,999429.596415559,1876004.41978256,1581840.73168416,1408220.05641615,3896667.33976788,2289826.33626086,196675.662034525,398147.114557046,2302960.56931964,1445343.96110655,1353285.37566422,2593722.90807555,2259974.07360858,46830.5891591145,1154492.93877345,973042.46878394,2356276.29031537,2120537.22611921,909600.072054882,986621.901999031,2002296.81791428
N-Ac-Arginine,107875.502724835,55093.4573392125,79299.1052748476,60934.3797870409,0,21598.2744877473,52764.2859118796,81294.117279943,68556.8364068554,28813.6324207683,72929.3960283911,90114.4082332409,62092.4443824321,74569.228665997,72724.1210394411,34424.5975602924,87059.8810388019,0,141561.887462258,63732.2962282319,83281.0367895674,90950.6509664281,159111.253776316,1521102.62185292,57742.5247840663,157578.085192049,0,68040.1445690936,47668.3407401402,52338.7256636632,44387.4686871619,69192.8639927666,76380.5795579105,63614.948580537,0,0,65145.6800302632,46285.5468308502
Carnosine,595459.825509151,71423.6507949342,56824.9996627255,163958.530695557,156553.449798142,86666.9867406032,202768.276679034,55834.0017583409,289374.013802673,252978.502317347,132286.04821588,83298.0654658315,101751.784492525,366391.714613605,455171.343376848,91879.1430860005,105731.486401577,184298.963578034,961323.708181075,150452.331135868,50461.7825818235,326235.329664264,43159.9394611136,186932.044965144,79540.6167024256,88637.5983706975,65509.0494427505,112948.673883689,199532.302443967,82680.833606017,57124.1912284977,68411.5551090243,127603.215061673,124555.559482754,136662.578390379,41394.9160393671,212657.581219484,0
2'-Deoxycytidine,11551933.151543,10517027.3103502,20400726.0063899,2164392.84673139,102204.093961161,78865.3681691288,299774.151565838,909438.677339533,325099.820778892,205577.860196771,249631.53804198,144000.253198534,390248.394796745,234858.311603749,374597.232923266,432990.109140321,512145.490414264,258856.81504969,1210163.02934107,587497.597999208,364274.618439495,851556.79105904,94073.4301246367,2970676.77714552,109809.622804683,141588.444359388,609753.656827059,155475.250831298,208836.043686183,4438529.26544381,647157.895039723,347903.469009972,318175.290373346,347138.358078092,180538.246355221,94699.4143459251,157185.392721817,271534.895033679
Cystine,0,904751.74837454,2164586.19041595,497768.552168025,186355.033464052,174393.134550134,17812.9202262811,613593.186921053,232205.302921987,176496.538400036,123796.915007554,384799.285549377,1386528.97482009,407550.182784457,198793.044967504,439594.263176349,377537.480962021,154011.986571793,30268.232123454,62339.748414626,569498.122942373,346973.632647202,974477.375889438,22188.1194603963,512379.265631107,578158.55807484,377724.375332553,386285.348117571,317401.454756074,1497485.10066376,98402.9030242674,246789.749458768,376171.382565771,287949.310540384,251723.485959551,165943.265131405,212840.190664082,1576239.23495819
Cytidine,2581625.34851558,4055493.6246635,7967100.31411351,1304201.7077514,317901.331045299,877585.56961497,2197693.05946409,3118281.23883483,2688442.78868029,873327.590123197,2759112.19637274,1926766.10840504,3124611.77935301,2185658.53480308,1799438.35483397,2233205.50680508,2629804.567634,1277599.62261568,6516502.1946795,2634360.7231792,2123674.39205959,6059312.20504754,1466275.46355601,2823843.90250737,941866.740173184,1645332.5683001,1878867.79180774,1341996.89327615,1175695.20719351,4199455.05705536,1429056.73231818,1288540.39564505,1215682.26780897,1128741.31536949,1613759.49967875,646451.143617178,1153230.36790239,1329764.37861224
Uridine,504765.202602062,708578.989151575,1341777.70730952,646669.058849785,98370.214295636,246054.873954138,3534584.92545923,4381040.47685693,959027.680079907,131421.471514339,4095096.21090196,2246143.76449369,3806896.69677423,4146931.18927624,640715.930954311,910767.579379721,926864.571825703,855968.83760378,10143961.8361964,4630601.71511661,2914893.39389478,8771382.25203917,1951644.37962767,2212224.89910841,1065293.0419309,2773205.75404575,903757.318376558,571988.740179333,238040.707921012,979359.555851393,451340.590296126,290124.287896216,238611.057172293,448242.463070616,1491994.45426554,389783.655173555,358578.153666331,367545.915308862
isoValerylcarnitine,100451754.516823,36354773.7828286,71902562.4243307,35995147.6943664,81771092.7172671,99671653.0415165,173838839.988254,63159373.5785014,187748526.511782,135667817.167487,192347166.381225,162755127.163421,69887873.043228,62943183.291508,241368267.118802,165216098.764027,84201000.739923,89084097.8705287,347359294.888772,29340009.8318314,39980803.9186507,78997076.508531,29320379.4828466,34354201.6581288,13928615.5142032,29078431.8164643,30193249.6660696,27987520.4298781,20223115.7192219,44441193.1367301,20932675.3822481,44503451.598786,42762732.4312304,46180140.058317,45036315.1333026,26836305.6606648,55820842.0958769,36271495.3081194
Glycerophosphocholine,10416994.6706143,24765986.5363058,4528724.70982514,8002986.72223955,3212094.94256862,5390347.15475237,6181833.83227755,12540524.3227876,9445557.64025394,9585757.77409625,11716089.8319465,17389700.8359305,8783594.28715595,16963914.3563549,6315914.99818485,7975664.81298085,5509120.03197554,3397459.86951553,20970913.7079545,7304737.41062633,11625735.4659207,19972951.6366535,8624589.90880067,10503398.0078466,6749365.44227946,8522263.23729106,13383759.305336,12456594.1645053,7234058.02563416,3102574.7144178,3247916.14607286,8515418.2281245,11467313.8016551,12916252.1038485,7005089.76383971,4074620.30326165,5094617.02641514,3140756.92596668
5-Methylcytidine,92402.4501686469,72749.6269528199,200186.24498367,49719.4016756648,24164.2271685024,13789.9445461968,60730.7611039138,146581.877948686,60772.2560917056,30564.7259350289,55591.3918957184,26980.5094991996,83322.369789193,24596.7637387877,63980.682649479,47623.1251314329,96109.4104044181,30939.083687343,266682.916792642,105957.439654606,20831.9274467455,92476.2710248559,0,112945.623348071,0,36521.2784250525,29663.3234896749,0,21025.0809527084,150141.885310816,69064.730683245,0,77003.5621691659,133974.770317791,117419.486824253,0,27405.8431514553,50546.9682390391
Hexanoyl-L-Carnitine (6:0 Carnitine),1916900.49346843,3809345.90191164,1211840.21690997,2214925.19882793,2572226.20905008,2342824.79062248,8340736.55581676,10181182.5280377,9128095.44248934,2691930.6569038,3184275.99060038,460579.426365351,1872625.07438365,642947.029162641,3602627.56054886,4238353.32698014,6379777.43659329,2901018.40889922,4416539.93257298,5328478.99333599,2240023.2705501,7423363.60580108,1221875.87617728,2944567.91328461,1090163.55516491,4498529.09310802,1841643.48510178,867697.696683484,964121.081678909,1069364.59432737,1935489.04122992,1037087.57824817,5913277.79820748,4321640.39964075,2772174.31233287,608520.628769533,1684678.69749233,433200.073431948
Succinylcarnitine,3795642.72776984,4358007.65840431,8079054.29096855,2675611.7177999,401585.989772346,1269381.74946378,1943566.00399578,2720731.79025183,3626409.68383121,1758673.2246835,1153080.7727797,855963.662136639,1972118.4129349,1417952.41594432,1359833.66508422,1719372.68380657,1210960.57003188,475804.195237875,9142433.50753255,2664922.69026989,1851783.28568428,7571457.05759913,924498.316395837,627485.653722112,1389411.12946427,2055080.1223277,2476921.63503413,1970776.85320851,2476298.86898384,5107977.96578933,622408.666052637,3189835.77946686,3307504.17475176,3706635.36919432,3731486.25000534,667312.314538969,4088318.34043493,4468793.70692855
Thiamine,2236445.50950878,3069693.14863453,3103985.84679083,2064843.83094246,137510.865531292,337071.157620356,248920.742260626,675479.76606145,701927.845710241,386460.703419431,425565.056564657,441084.949621252,466165.940692045,644226.932519391,1139353.0569408,2074600.55780105,1788502.90650117,689772.47798264,2312399.4967351,936749.80649041,1504522.60170637,3077007.10081328,1441749.3923198,582318.095635402,570289.902178316,1753234.68014641,1982796.5425554,1492218.44498836,2377905.12793353,3120440.4541206,67195.4067513468,78945.1757471766,110245.817176888,59236.2011198533,2837578.22294477,1299520.45418015,2722216.36226281,3604456.80688957
Deoxyguanosine,3552768.64693834,4006133.58272833,7303223.04546422,987903.085898214,38901.6841879319,18012.7377544188,76984.9027895496,193522.111169305,17113.5808283738,26529.9985807747,60844.4095951078,54457.4769549447,176848.573808092,66881.4295237513,84351.7901194192,63525.5539761089,120335.436557727,45524.9142632751,271751.218996067,113252.221813141,82838.5174690982,118770.275553115,15960.3396471821,1183015.88527376,47704.6213539246,30244.9958078903,130117.378488777,23491.4005604116,32532.0437880465,648565.89433015,143979.488024155,67019.5469233082,34997.2906721722,47639.248663837,26281.6807472814,18832.9530161676,29642.7113223046,100214.085546211
Adenosine,27562905.4666746,46852160.8241127,27601252.1100611,28809997.2462725,13619035.1222373,42434348.603105,307849267.711306,249884645.696877,78011099.4448691,13984414.6832012,358131729.477542,44256140.9551721,27557289.741854,106384252.42949,29921968.1207066,62093782.9171351,48494434.7911268,45183727.107399,716089810.45691,251365463.768145,56135993.3016452,473503704.579216,43992616.9994246,189606749.648752,13091843.0656536,134360383.551875,27727283.2566869,28765261.1224039,36109173.3082008,47317861.4853812,32274702.7715425,35604798.1937612,28391878.1263381,22628111.715845,118854864.408062,30411115.6314297,26001530.3607999,18768811.8738916
Inosine,13440313.9286528,6761612.87991114,18702357.5258226,2236872.83871912,1297198.26619104,1199471.56962176,69753820.7253507,176498369.030677,4417242.00706429,633226.802757787,90880241.8259798,32992896.3083915,131087213.225724,48361242.0393452,19160626.5410901,18724283.0343661,34358237.2847731,6746080.9486573,257258006.118636,134613878.50158,52963087.1694299,222776435.459734,17022464.7130202,74256079.1343091,18089720.7072454,102715023.361693,1790457.80878139,926128.518955846,209942.831382112,9414772.25752477,3652032.39176772,1310145.01103802,3172140.16963773,3014260.97821399,18506271.060312,1147734.25021149,778517.643059804,3437475.25044773
Glutarylcarnitine,1501949.57032893,2052112.00948723,3077377.80392846,1369502.34174438,315446.262529389,1004820.94723656,624435.516491223,1949871.95288724,1477259.19607021,1189228.30105561,564679.947714612,822032.996320647,405515.175148114,722499.639687962,797805.464743176,1185741.96961022,796642.543548617,357545.283299463,5962840.76262264,773740.235185917,997803.951232783,2909503.63843708,953899.887625968,382274.658007505,624347.74166672,991305.648217808,949751.426114859,1306338.457347,1142650.25205656,3120795.36126868,344952.348152086,1114806.44911916,1151796.01944091,1429158.32802984,856240.871874372,339260.505763063,1607263.6588166,2788804.51211692
Oleamide,11273.0093123203,12381.8852196541,19498.5689450712,11099.0372075516,15823.8592778388,11911.9405172086,17652.5199278024,26044.3299646062,12870.5000031453,16070.9162492334,14546.1713319251,13218.5225804365,23533.6133125358,15585.9019970021,22791.5179646145,22433.6913399617,8658.0181155392,48146.0816217076,3880.36804944277,12797.6814519437,23169.7122324018,12324.1477142666,19693.5423421395,17209.4287702514,17156.2977247615,24482.8348045867,22651.7754871498,29505.4376366215,11491.9897505586,33018.156599968,58739.4794505966,10243.0474233164,13952.6293823082,18642.1299470483,18734.4376367013,7571.94681644972,8911.09043459651,37774.8522804875
6-Methyladenosine,36554.2049148454,57481.4642868075,351244.960687177,57991.1550366947,24108.3775016343,12995.0202746479,74719.391383368,97990.576751179,25058.5685985485,23356.368235575,70769.6593689932,82550.263307073,218363.403469746,57471.0952415331,112075.761720136,58215.2769967136,56578.6712362104,13465.4101168926,150673.552085497,80901.7591223211,72047.5999107701,114069.126543721,32968.9221616411,82013.0637275901,30104.545930851,28891.6241199127,57555.4325537531,23174.8957410968,16547.3542369387,433789.709836945,49630.538325255,20578.1269551622,69353.0234572447,51176.8942993702,31216.8116352753,0,19711.3439661342,163306.412021981
Guanosine,417890.724986282,1485817.64836744,2538861.10240061,1171282.32547352,240821.446762557,578923.904481391,2164657.39336751,4934903.05093038,784921.221589881,315977.474076556,4175726.67471504,5039301.46102439,3701565.86304575,5814530.39132905,769771.751307606,1632602.2075094,1238950.62352835,858123.447841397,6549025.16611835,2801449.69724647,3682442.42349813,5661072.3558323,2826958.20551199,2245230.23791092,2358036.97309582,4077758.24839334,733536.47945844,893914.49494306,496262.041140066,1488939.11364822,1076934.36537932,626943.630929588,334154.054489967,562412.744164296,1489046.64248067,839954.854244365,639437.620937273,992671.918402974
Retinol,155611.850073021,163845.171209782,306631.013795136,161606.932025987,74315.4339464337,71262.2412830166,58148.6833564714,135631.550632215,141716.179054462,119552.090637965,96937.9537901568,118342.352606916,201794.74910328,152044.67751652,117253.384058546,92297.7498911452,100420.083709759,0,0,99239.3679352831,111989.669814131,142971.589667358,91112.5012541679,88126.927418943,86020.6598354702,80425.9593911168,106235.569554975,91800.2658444408,64640.0932467561,202785.384341262,56763.6179350974,52423.7365917464,124407.563543301,91020.8380094359,70787.8826874809,57506.3761169165,136593.812466269,171651.421147704
Octanoyl-L-Carnitine (8:0 Carnitine),634977.816223704,884735.564336837,134214.925929721,304985.082267831,83016.9805026545,246643.924081239,945370.890596115,2040408.23462499,1373097.44185343,232805.229407532,1630385.73292127,136790.043879287,230268.897591892,290470.815024421,125873.495629447,582971.499854942,364259.247269722,304460.799001396,2328226.27195081,484212.24482068,222191.406971712,1587778.98034046,429949.286699378,374251.687321436,325045.330404448,1113972.26650792,683168.460856925,607609.069156388,376142.046683215,205059.400094055,99038.8338971412,244363.328287936,479409.641586807,421809.899605865,546444.048423477,231836.880883921,402633.170622926,112916.54725891
5'-Methylthioadenosine,2159290.91164302,709326.150500753,490126.731308831,325747.869292272,134909.434407778,278365.103876236,110258.812158732,371390.310809997,536991.855873255,172797.847715259,221062.877476906,168702.398076986,449811.37358349,254066.593218243,254912.493672773,290304.986476972,203647.337901534,66988.8032277362,239597.849637831,193481.240120027,332422.739204873,369100.49474234,163013.381067718,561373.031266514,83442.8061153742,143863.849631281,153019.822323861,124249.538423454,140871.49696377,1648988.40868005,540889.220760168,332627.718210495,443845.4516278,332443.937906905,254690.600505862,150558.284646794,184186.776309527,473312.155371074
1-Methylguanosine,37282.0060826644,94732.8951652735,203045.357634124,66258.609757633,0,0,37331.817809107,95129.0489768677,17577.214218706,15485.2330480955,41005.8567694872,23460.4892443569,29009.909518934,19895.4068618639,61891.5536129804,44409.772768062,48795.0455341885,16284.9951383608,146212.007811708,36459.9581713988,13538.4177703537,103848.959478161,13110.5917447911,80316.3235600724,0,26145.4353887536,36077.4486577572,16774.6649652018,0,263293.135607579,84872.1174528055,13880.8508436452,36504.2257848705,65435.7215676369,38157.8452052294,0,11587.1650014119,45641.33032885
N2,N2-Dimethylguanosine,0,15940.0942701209,26440.3522303633,13006.0955980267,0,0,0,16026.2586378287,0,0,0,0,15312.7891743758,0,0,0,0,0,36196.7436751894,17437.3272089274,0,22311.1098674718,0,46183.4290374875,0,0,0,0,0,45876.4793527898,62074.7334591358,0,0,0,0,0,0,14485.7849584436
UMP,0,229501.189999057,186751.982242623,241264.686810688,0,0,0,0,296904.728138344,0,0,0,226270.66928365,164162.995489878,199272.239176058,0,0,0,187697.942673794,245239.846301476,0,181718.480658995,2129631.82497696,2595568.48174524,2195985.22850602,7231636.17390489,0,0,0,0,0,0,0,0,167535.546195992,0,0,0
cAMP,53734.610926806,203291.053910059,136741.760805041,130393.797132211,61318.2490800378,70985.7761915913,178197.442448065,136571.556841313,92793.0566335088,57669.704650964,7358.54980004077,105606.735858659,118194.537245688,111570.565704316,255264.60895717,90927.3291464828,25391.3476772444,46097.6579081159,72462.9959940241,29618.3232646883,23062.8310091076,37274.1980884455,69747.0095666712,189656.44897493,20913.1482422473,45551.8617696364,34860.6229705934,30828.7264740526,20493.6051709059,154430.712774974,34880.3524458432,97705.7051069724,24489.8972540187,96766.1322290024,24614.7511720243,21802.791704399,49139.9226841423,66169.7120838894
GMP,1064052.3585503,2419746.85783763,2058551.53647143,1840603.49955256,0,1067470.5282214,962912.478412263,1192518.40717565,1713911.89982569,935276.910867459,0,932343.683994091,1600308.69063828,1084863.88192048,1871473.34509437,781305.623095268,0,0,0,2485815.36316771,0,1739335.37696064,1907870.49849017,1773061.74366674,3240509.10038595,4576894.02123632,1074641.26597018,769316.894959436,762262.494646347,1053783.33189552,1302115.14465213,925159.440895828,1238719.62466797,1546392.59422298,970079.453647414,0,820635.798006179,967793.570142031
Myristoyl-L-Carnitine (14:0 Carnitine),134505.913476756,182027.851404028,139802.642983483,114546.676303868,74076.5596516875,188534.519122797,328627.706612236,560876.873445059,533094.476374683,71212.3816691041,309539.425769997,145836.468043053,98796.1095610691,97363.3743289669,200073.298681932,264770.567335958,200562.404481975,35881.4949847516,272112.476090681,171918.80175306,164345.877484312,297265.554490443,243634.441481104,25601.929285414,68650.9107658249,439615.41752481,139398.466485409,151032.894201054,71849.5311674238,135873.302965664,24069.5305710232,106073.322374429,232910.940751357,131320.510556067,136028.885941299,59828.003917056,175225.390922589,171368.043226275
Riboflavin,5419945.40696894,2566749.07709777,5206302.33659017,1155223.56651366,139439.247234255,61873.0531313106,373020.416175,552166.196602159,253629.563978231,68366.3652006553,999545.533340697,79152.1127095686,391624.821813785,195778.808480073,377408.009391295,119754.047564418,737680.11594928,141475.17287874,993054.698097196,1297581.21145977,285079.249688061,1755006.7102212,30575.8721660334,304474.368874031,20078.4303870624,137735.116818252,376530.719624452,251911.297533761,190976.004742026,688311.174856812,623007.757277008,225417.21339461,1520514.00682459,1650159.57818432,1013452.10125914,0,83779.4038608546,387074.227641025
SAH,407882.0511318,671437.734805385,475312.450205006,718915.888486873,128703.825795924,320679.08288422,415858.810643426,277280.91342926,931444.696881418,253023.10436366,299894.470537982,158001.321471016,355594.923884642,409300.293225801,327442.23388369,250073.107016993,377770.533399937,340424.955179046,1157591.36519302,203824.412184064,707110.788683189,579278.679627648,286080.678873665,220944.616072252,290936.263536337,470602.370088478,302405.670153167,169999.60786558,338719.699478018,321567.830775985,222493.505025183,216807.292261491,791708.133888242,411525.552393554,333271.006030085,110044.756186163,309321.993755367,369570.831377474
Cholecalciferol,19925.9076601546,46794.8636219685,48432.8651568803,35323.1988088903,29032.7645914361,20029.9816512529,20987.6850104624,25383.0084956027,32046.4380095311,24614.8763214888,21198.6737568457,48752.8816531064,37590.7037600423,40281.6399308525,44842.1281530642,33919.1703986302,32399.0364534612,18704.8894512069,12088.3260070146,38283.1280714663,23429.6304693061,29881.2228149277,27206.6951215702,42201.3007882837,32894.5238511376,24801.3237323634,46452.2128554741,20945.9501184245,21490.6103707728,37366.2206491714,17586.706091177,15314.9202085851,33367.8497128269,40253.3070886402,33139.9718055792,49134.2393172773,25096.7222812309,71886.6048923933
S-Adenosylmethionine (SAM),1663392.63156307,2886479.51108857,472550.264703515,1336057.65451709,694225.767162704,2102810.18158593,1672348.86500203,3903075.71589881,7988925.73836755,1100487.52121847,3081027.40730198,2535077.54394304,1720540.01690132,1375846.62808445,2304454.51339602,3057288.57010317,2243072.89487516,711231.728353435,958899.259904436,1957786.20886957,1677763.52035379,4408392.7274713,1777300.57527327,737887.441181704,689898.269662381,2476604.14229388,1698170.84852711,1601663.90389319,1873984.54524773,890635.805134992,238233.047166784,1939725.43853952,3403634.57258414,1357390.00442279,2633697.71044789,723114.700105825,1458126.1513412,1401967.43947138
PAF C-16,205876.865196922,41703.3049091773,252668.748653879,314549.058015491,186677.230298873,126856.717850794,129769.868992497,221482.297201837,325107.010512791,711657.440385892,195889.339389672,233708.735393932,218453.54790078,286003.721771444,338392.447104099,277585.289360568,308516.085006366,112229.417520866,163030.157499519,276501.870369108,254062.849622893,1333387.94985707,272360.65584749,158956.179429717,404340.354065957,249477.446807032,334521.90377266,388285.060699886,136089.180625839,264553.09325946,108878.958514437,140288.685042636,374181.438250177,406172.822226208,139860.832579876,19702.8846709255,158215.445046542,162332.217354411
NAD,9300.05897497436,0,0,10588.0234353043,0,10401.2609385486,0,0,132864.775938257,5341.20363585807,0,0,0,0,0,0,0,0,0,15166.4286535482,0,43770.7872142581,0,0,8699.8305641655,0,67529.7688927071,56884.6955491141,301329.856269476,10667.8667227705,0,0,0,0,11520.5235537553,0,0,0
