gene_id,absolute_loading,signed_loading
OG_01002,2.283757518381787,2.283757518381787
OG_01869,2.282198945677254,2.282198945677254
OG_07395,2.279046433388052,2.279046433388052
OG_05547,2.2783272554671514,2.2783272554671514
OG_08715,2.2707634391123546,2.2707634391123546
OG_07161,2.267327568152705,2.267327568152705
OG_01201,2.2670738005604485,2.2670738005604485
OG_06033,2.262671094638259,2.262671094638259
OG_09683,2.262348759138439,2.262348759138439
OG_01366,2.260854549723632,2.260854549723632
OG_05442,2.2570999779858827,2.2570999779858827
OG_08997,2.2564713106601286,2.2564713106601286
OG_09636,2.256354474386331,2.256354474386331
OG_08057,2.2556532984259774,2.2556532984259774
OG_01413,2.2549556085286757,2.2549556085286757
OG_08977,2.254062807908935,2.254062807908935
OG_05215,2.253752417243434,2.253752417243434
OG_00893,2.2506537214686624,2.2506537214686624
OG_02982,2.248936335531708,2.248936335531708
OG_01160,2.244429063258459,2.244429063258459
OG_10087,2.242401318631711,2.242401318631711
OG_09912,2.240960896805994,2.240960896805994
OG_06556,2.240600861391505,2.240600861391505
OG_08227,2.238320351501383,2.238320351501383
OG_02353,2.2374724154891323,2.2374724154891323
OG_03473,2.235899116560577,2.235899116560577
OG_08058,2.2342585214487323,2.2342585214487323
OG_10110,2.233090019159887,2.233090019159887
OG_00063,2.230956989941589,2.230956989941589
OG_04075,2.2283245792040023,2.2283245792040023
OG_00986,2.2242134221371286,2.2242134221371286
OG_08226,2.223407009250864,2.223407009250864
OG_03765,2.222329593481956,2.222329593481956
OG_02228,2.2207729018073965,2.2207729018073965
OG_07631,2.220121947335684,2.220121947335684
OG_06421,2.216907583045913,2.216907583045913
OG_08627,2.2122552854379385,2.2122552854379385
OG_02941,2.211760461842148,2.211760461842148
OG_02220,2.2082979523396995,2.2082979523396995
OG_06680,2.2058785649805084,2.2058785649805084
OG_07088,2.2000841051667206,2.2000841051667206
OG_04755,2.198060320098408,2.198060320098408
OG_08994,2.191770323775406,2.191770323775406
OG_06373,2.191665970085074,2.191665970085074
OG_02300,2.191154710674732,2.191154710674732
OG_03447,2.190267498823225,2.190267498823225
OG_05780,2.18586265217555,2.18586265217555
OG_04109,2.183801404833542,2.183801404833542
OG_05779,2.1821776923222136,2.1821776923222136
OG_01740,2.178164777780837,2.178164777780837
OG_10039,2.1770427547942326,2.1770427547942326
OG_01299,2.1758564891290284,2.1758564891290284
OG_09792,2.1758525227055863,2.1758525227055863
OG_09923,2.175564573155756,2.175564573155756
OG_08907,2.1754854079312738,2.1754854079312738
OG_02369,2.173387397974899,2.173387397974899
OG_02317,2.173302597233897,2.173302597233897
OG_06812,2.172510012000577,2.172510012000577
OG_03514,2.170764912622952,2.170764912622952
OG_00020,2.1702935994699635,2.1702935994699635
OG_06754,2.169143022505853,2.169143022505853
OG_06557,2.165723708408203,2.165723708408203
OG_02527,2.164222290286575,2.164222290286575
OG_05274,2.15958099754212,2.15958099754212
OG_03691,2.154447290568136,2.154447290568136
OG_05119,2.1528370932997083,2.1528370932997083
OG_06851,2.152807846201243,2.152807846201243
OG_00887,2.149980337379945,2.149980337379945
OG_01709,2.1478880111868897,2.1478880111868897
OG_09535,2.144130207063292,2.144130207063292
OG_03683,2.1419370622912317,2.1419370622912317
OG_05533,2.13975682682255,2.13975682682255
OG_08842,2.138006608803164,2.138006608803164
OG_00588,2.136260189915052,2.136260189915052
OG_06068,2.135952050773381,2.135952050773381
OG_05841,2.13078866400705,2.13078866400705
OG_02145,2.128073462140587,2.128073462140587
OG_02718,2.126606370122328,2.126606370122328
OG_01277,2.119673334630056,2.119673334630056
OG_08806,2.119650170753344,2.119650170753344
OG_09906,2.118399767989513,2.118399767989513
OG_02296,2.116011639225344,2.116011639225344
OG_07051,2.114645803552224,2.114645803552224
OG_06461,2.114594215860287,2.114594215860287
OG_00729,2.1127914983818106,2.1127914983818106
OG_08148,2.112004575105965,2.112004575105965
OG_01017,2.1106727451007883,2.1106727451007883
OG_02402,2.1101774187475524,2.1101774187475524
OG_08083,2.1101024759697617,2.1101024759697617
OG_01853,2.110029683333325,2.110029683333325
OG_04722,2.1083699802325966,2.1083699802325966
OG_05053,2.108158579817162,2.108158579817162
OG_00772,2.1053254436833644,2.1053254436833644
OG_01503,2.10500080667898,2.10500080667898
OG_03949,2.1047211629084077,2.1047211629084077
OG_01845,2.103632856010885,2.103632856010885
OG_08437,2.101255240597831,2.101255240597831
OG_09862,2.0990888490468134,2.0990888490468134
OG_10113,2.098815235741044,2.098815235741044
OG_04858,2.095193018662739,2.095193018662739
OG_01876,2.093510340642181,2.093510340642181
OG_09948,2.091555671841836,2.091555671841836
OG_05582,2.09143741526031,2.09143741526031
OG_03439,2.091394478867037,2.091394478867037
OG_04754,2.089383288859016,2.089383288859016
OG_05669,2.0889185414087343,2.0889185414087343
OG_06817,2.088843951175429,2.088843951175429
OG_06588,2.0884519606086087,2.0884519606086087
OG_07553,2.086977922758252,2.086977922758252
OG_05548,2.084075060579389,2.084075060579389
OG_04146,2.083787113571529,2.083787113571529
OG_03988,2.083194516278933,2.083194516278933
