"","miRNA","mRNA","PCC.cor","p_value","mRNA_coords","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"350","Cluster_17623","FUN_011720",0.632418459528886,1.19856085601342e-05,"ptg000008l:567511-568511",149,-12.74,"2 20","854 874",18,"72.22%","72.22%"
"351","Cluster_2500","FUN_011721",0.57362326885461,0.00010909695357718,"ptg000008l:579531-580531",145,-12.43,"2 10","190 211",8,"100.00%","100.00%"
"352","Cluster_14532","FUN_011724",0.611538901974838,2.76246303070854e-05,"ptg000008l:615391-615628",147,-12.46,"2 22","86 107",20,"65.00%","70.00%"
"353","Cluster_4752","FUN_011740",-0.551556256749399,0.000225171093312285,"ptg000008l:801876-802876",152,-12.08,"2 20","953 971",18,"72.22%","77.78%"
"354","Cluster_1865","FUN_011781",0.537561966955577,0.000347519154391176,"ptg000008l:1392096-1393096",153,-13.4,"2 14","198 221",12,"83.33%","91.67%"
"355","Cluster_17245","FUN_011817",0.534967034201915,0.000375861352229032,"ptg000008l:1799601-1800601",160,-13.97,"2 19","413 434",17,"82.35%","82.35%"
"356","Cluster_17623","FUN_011817",0.626696811704602,1.51586499437039e-05,"ptg000008l:1799601-1800601",140,-11.82,"2 9","636 657",7,"100.00%","100.00%"
"357","Cluster_17623","FUN_011821",0.505690707015615,0.000872664941502994,"ptg000008l:1831777-1832777",140,-11.82,"2 9","636 657",7,"100.00%","100.00%"
"358","Cluster_17245","FUN_011827",0.54044399345185,0.000318301326765414,"ptg000008l:1863953-1864953",160,-13.97,"2 19","413 434",17,"82.35%","82.35%"
"359","Cluster_17623","FUN_011827",0.526576114914051,0.000482245357460151,"ptg000008l:1863953-1864953",140,-11.82,"2 9","636 657",7,"100.00%","100.00%"
"360","Cluster_17245","FUN_011839",0.525072552436837,0.000503927853557581,"ptg000008l:1978974-1979974",160,-11.78,"2 19","163 184",17,"82.35%","82.35%"
"361","Cluster_1865","FUN_011878",0.507160914041307,0.000838009039869176,"ptg000008l:2381099-2382099",157,-10.5,"2 23","509 533",22,"63.64%","77.27%"
"362","Cluster_4752","FUN_011868",0.511092626032168,0.000751269706112072,"ptg000008l:2254184-2255184",160,-20.36,"2 17","861 881",15,"80.00%","86.67%"
"363","Cluster_1819","FUN_011911",0.574481729762348,0.000105953102698372,"ptg000008l:2817935-2818935",148,-10.21,"2 14","874 896",13,"84.62%","84.62%"
"364","Cluster_1950","FUN_011914",0.506496551266933,0.000853514844331186,"ptg000008l:3048356-3049356",143,-10.93,"2 17","937 962",19,"63.16%","73.68%"
"365","Cluster_4752","FUN_011981",-0.536073954546859,0.000363527331817662,"ptg000008l:3810282-3811282",146,-14.85,"2 17","338 361",18,"72.22%","77.78%"
"366","Cluster_1819","FUN_011982",0.512783908186424,0.000716485850181998,"ptg000008l:3811995-3812995",176,-21.9,"2 19","910 930",17,"94.12%","94.12%"
"367","Cluster_2372","FUN_011989",-0.522446176463439,0.000543901736668701,"ptg000008l:3878465-3879465",158,-17.31,"2 21","964 984",19,"73.68%","78.95%"
"368","Cluster_2500","FUN_011991",0.541747532434521,0.000305826056314921,"ptg000008l:3898702-3899702",159,-14.98,"2 18","65 85",16,"81.25%","87.50%"
"369","Cluster_1819","FUN_012080",0.521826071461319,0.000553743723190982,"ptg000008l:4916370-4917370",160,-20.11,"2 18","858 880",17,"76.47%","88.24%"
"370","Cluster_4752","FUN_012109",0.563723288969369,0.000151966244203922,"ptg000008l:5207911-5208911",145,-14.54,"2 20","893 917",22,"68.18%","68.18%"
"371","Cluster_17623","FUN_012132",0.531439787144792,0.000417706643580749,"ptg000008l:5487610-5488610",141,-11.82,"2 19","728 750",18,"66.67%","66.67%"
"372","Cluster_14165","FUN_012167",-0.540007104470789,0.000322583588441567,"ptg000008l:5861640-5862640",146,-18.15,"2 20","908 930",20,"60.00%","75.00%"
"373","Cluster_5516","FUN_012194",0.513004036107775,0.000712065806775683,"ptg000008l:6264270-6265270",143,-12.55,"2 13","617 639",12,"83.33%","83.33%"
"374","Cluster_1865","FUN_012211",0.557901251450344,0.000183774198525502,"ptg000008l:6424167-6425167",149,-13.54,"2 22","686 709",20,"65.00%","65.00%"
"375","Cluster_1865","FUN_012211",0.557901251450344,0.000183774198525502,"ptg000008l:6424167-6425167",162,-12.37,"2 15","902 925",13,"84.62%","100.00%"
"376","Cluster_14165","FUN_012226",0.575217596627142,0.000103323731636861,"ptg000008l:6540050-6541050",140,-14.22,"2 9","168 188",7,"100.00%","100.00%"
"377","Cluster_14532","FUN_012282",-0.527652047955527,0.000467245939851865,"ptg000008l:7287333-7288333",144,-11.33,"2 19","141 167",21,"61.90%","76.19%"
"378","Cluster_4752","FUN_012302",0.553492874106505,0.000211724692271718,"ptg000008l:7668881-7669881",149,-11.24,"2 14","399 419",12,"83.33%","83.33%"
"379","Cluster_5603","FUN_012336",0.510714032376704,0.000759259114809824,"ptg000008l:8046039-8047039",140,-11.54,"2 9","914 936",7,"100.00%","100.00%"
"380","Cluster_2372","FUN_012325",0.565452366401792,0.000143528209846196,"ptg000008l:7887630-7888630",161,-18.23,"2 21","560 582",21,"76.19%","80.95%"
"381","Cluster_3301","FUN_012325",0.518798878712692,0.000604111558542171,"ptg000008l:7887630-7888630",163,-14.7,"2 22","957 982",23,"73.91%","78.26%"
"382","Cluster_3301","FUN_012350",0.537596297401817,0.000347157409287357,"ptg000008l:8178667-8179667",146,-12.22,"2 22","542 567",23,"69.57%","69.57%"
"383","Cluster_14532","FUN_012350",0.525691708711541,0.000494895754089402,"ptg000008l:8178667-8179667",148,-13.76,"2 22","971 989",20,"60.00%","80.00%"
"384","Cluster_14532","FUN_012350",0.525691708711541,0.000494895754089402,"ptg000008l:8178667-8179667",162,-12.94,"2 17","743 764",15,"86.67%","93.33%"
"385","Cluster_3301","FUN_012358",0.513443574144725,0.000703312779302981,"ptg000008l:8246283-8247283",155,-14.04,"2 22","774 800",24,"62.50%","79.17%"
"386","Cluster_15097","FUN_012411",0.524817711999556,0.000507688026821304,"ptg000008l:8739814-8740814",148,-14.95,"2 21","568 591",22,"72.73%","72.73%"
"387","Cluster_3109","FUN_012501",0.50249291764635,0.000952479224857051,"ptg000008l:9470001-9471001",146,-10.7,"2 21","560 580",19,"63.16%","73.68%"
"388","Cluster_14532","FUN_012501",0.506705426900917,0.000848612536367781,"ptg000008l:9470001-9471001",150,-16.85,"2 19","423 445",17,"70.59%","70.59%"
"389","Cluster_2500","FUN_012506",0.552550559546606,0.000218174305514837,"ptg000008l:9489749-9490019",153,-10.25,"2 21","225 246",20,"75.00%","75.00%"
"390","Cluster_2500","FUN_012513",0.509869198130975,0.000777360996399778,"ptg000008l:9529384-9529654",153,-10.25,"2 21","225 246",20,"75.00%","75.00%"
"391","Cluster_1819","FUN_012538",0.577109087911384,9.68339499450872e-05,"ptg000008l:9721353-9722353",153,-15.75,"2 19","152 175",19,"73.68%","73.68%"
"392","Cluster_12081","FUN_012538",0.551007650187971,0.000229117454798423,"ptg000008l:9721353-9722353",140,-11.35,"2 9","895 915",7,"100.00%","100.00%"
"393","Cluster_12083","FUN_012538",0.601518393100518,4.03959172057763e-05,"ptg000008l:9721353-9722353",140,-11.35,"2 9","895 915",7,"100.00%","100.00%"
"394","Cluster_12087","FUN_012538",0.585209867129332,7.30110672750385e-05,"ptg000008l:9721353-9722353",140,-11.35,"2 9","895 915",7,"100.00%","100.00%"
"395","Cluster_17623","FUN_012530",-0.570532760115785,0.00012112638714189,"ptg000008l:9664370-9665370",148,-16,"2 21","567 585",19,"68.42%","73.68%"
"396","Cluster_5516","FUN_012575",0.520178171730519,0.00058067614919831,"ptg000008l:10061027-10062027",143,-10.48,"2 21","135 157",20,"60.00%","70.00%"
"397","Cluster_4752","FUN_012628",-0.573671225565923,0.000108919125367257,"ptg000008l:10660610-10661610",166,-11.91,"2 19","76 96",17,"76.47%","88.24%"
"398","Cluster_1865","FUN_012648",0.59980938557712,4.30460660853439e-05,"ptg000008l:10921082-10922082",145,-12.56,"2 10","877 900",8,"100.00%","100.00%"
"399","Cluster_1819","FUN_012752",0.505136620318002,0.000886053042993582,"ptg000008l:12163179-12164179",152,-11.06,"2 21","821 843",21,"76.19%","76.19%"
"400","Cluster_2500","FUN_012752",0.538671053691577,0.000336002002207435,"ptg000008l:12163179-12164179",150,-13,"2 21","927 951",22,"68.18%","72.73%"
"401","Cluster_14605","FUN_012752",0.518946505180754,0.000601563529887115,"ptg000008l:12163179-12164179",167,-17.08,"2 21","521 543",20,"80.00%","80.00%"
"402","Cluster_17173","FUN_012776",0.547593753435984,0.000255105942953381,"ptg000008l:12679475-12680475",150,-13.6,"2 11","799 820",9,"100.00%","100.00%"
"403","Cluster_14532","FUN_012784",0.527299008035074,0.000472120936990926,"ptg000008l:12781862-12782862",158,-12.19,"2 15","921 943",13,"84.62%","92.31%"
"404","Cluster_14532","FUN_012812",0.53193693625486,0.000411566748111255,"ptg000008l:13229400-13230400",165,-16.6,"2 19","520 543",18,"83.33%","83.33%"
"405","Cluster_3226","FUN_012990",0.540298028334796,0.000319726323287786,"ptg000008l:18259685-18260685",155,-16.12,"2 16","93 116",14,"78.57%","85.71%"
"406","Cluster_3227","FUN_012990",0.540735306779383,0.000315474391408487,"ptg000008l:18259685-18260685",155,-16.12,"2 16","93 116",14,"78.57%","85.71%"
"407","Cluster_5516","FUN_012991",0.543258847581535,0.000291913326492414,"ptg000008l:18260258-18261258",160,-15.52,"2 21","844 863",19,"78.95%","84.21%"
"408","Cluster_4752","FUN_013017",0.551209527217802,0.000227658084851472,"ptg000008l:18581844-18582844",146,-13.19,"2 17","647 669",17,"70.59%","82.35%"
"409","Cluster_14532","FUN_013022",0.620966878696685,1.90892881069699e-05,"ptg000008l:18618749-18619749",152,-10.04,"2 13","559 581",11,"90.91%","90.91%"
"410","Cluster_9706","FUN_013320",-0.519642791195281,0.000589674537955795,"ptg000008l:20905454-20906454",146,-15.69,"2 21","227 250",21,"66.67%","71.43%"
"411","Cluster_4752","FUN_013387",0.514319842548198,0.00068614832358214,"ptg000008l:21921118-21922118",151,-17.65,"2 18","127 146",16,"75.00%","81.25%"
"412","Cluster_3301","FUN_013393",0.511622210052026,0.000740219625411647,"ptg000008l:22005955-22006955",158,-15.84,"2 18","862 882",16,"81.25%","87.50%"
"413","Cluster_14532","FUN_013586",0.617271789554444,2.20961285436e-05,"ptg000008l:24273242-24274242",160,-16.41,"2 22","155 181",24,"62.50%","79.17%"
"414","Cluster_3109","FUN_013583",0.525560486034156,0.000496797814157924,"ptg000008l:24236411-24237411",160,-17.32,"2 21","979 1000",19,"68.42%","78.95%"
"415","Cluster_14532","FUN_013585",0.506003376986316,0.000865189742665596,"ptg000008l:24244923-24245923",152,-13.6,"2 22","726 749",21,"61.90%","76.19%"
"416","Cluster_2500","FUN_013457",0.541682555405517,0.000306437349696028,"ptg000008l:22799429-22800429",162,-10.52,"2 21","428 448",19,"73.68%","84.21%"
"417","Cluster_2500","FUN_013458",0.646239650984332,6.6616822736672e-06,"ptg000008l:22809033-22810033",146,-10.15,"2 16","80 105",18,"72.22%","72.22%"
"418","Cluster_2500","FUN_013474",0.534778890203995,0.000377994682776904,"ptg000008l:23055757-23056757",154,-11.33,"2 19","934 955",17,"70.59%","76.47%"
"419","Cluster_2500","FUN_013484",0.557139420671047,0.000188352750131712,"ptg000008l:23203136-23204136",148,-10.22,"2 21","398 419",19,"63.16%","68.42%"
"420","Cluster_9532","FUN_013512",0.507891984935184,0.000821236421449487,"ptg000008l:23547604-23548604",155,-16,"2 12","316 338",10,"100.00%","100.00%"
"421","Cluster_14532","FUN_013559",0.638404826455275,9.32648872432672e-06,"ptg000008l:24057461-24058461",165,-12.69,"2 22","517 539",20,"70.00%","80.00%"
"422","Cluster_1865","FUN_013680",0.656522417049816,4.22091191739347e-06,"ptg000008l:25412404-25413404",157,-14.68,"2 19","411 436",19,"73.68%","78.95%"
"423","Cluster_1819","FUN_013788",0.507109434593058,0.000839201515327159,"ptg000008l:26791920-26792920",155,-12.44,"2 16","919 940",14,"78.57%","85.71%"
"424","Cluster_1865","FUN_013868",0.743191418161767,3.96109293876484e-08,"ptg000008l:27994653-27995653",151,-12.69,"2 20","33 56",18,"66.67%","72.22%"
"425","Cluster_4752","FUN_014204",0.534166287231228,0.000385016305235606,"ptg000008l:33405853-33406853",153,-15.21,"2 15","69 90",14,"85.71%","85.71%"
"426","Cluster_1865","FUN_014180",0.671936020919581,2.06013510370554e-06,"ptg000008l:32837854-32838854",140,-14.34,"2 9","558 581",7,"100.00%","100.00%"
"427","Cluster_1865","FUN_014179",0.630263474620854,1.31013941093246e-05,"ptg000008l:32833861-32834861",149,-14.1,"2 23","763 787",22,"63.64%","68.18%"
"428","Cluster_1865","FUN_014184",0.501187933380789,0.000986871162698793,"ptg000008l:32987583-32988583",151,-13.71,"2 22","421 447",23,"69.57%","69.57%"
"429","Cluster_3301","FUN_014264",0.542218278523243,0.000301429963701953,"ptg000008l:34258138-34259138",170,-21.48,"2 22","724 746",21,"76.19%","90.48%"
"430","Cluster_1950","FUN_014230",0.565036858487589,0.000145516346285051,"ptg000008l:33701096-33701500",143,-11.01,"2 21","381 404",22,"59.09%","68.18%"
"431","Cluster_4754","FUN_014360",0.532647229604193,0.000402934747412293,"ptg000008l:35908327-35909327",145,-13.82,"2 10","590 610",8,"100.00%","100.00%"
"432","Cluster_14532","FUN_014362",0.501717422264199,0.000972786091744522,"ptg000008l:35950364-35951364",158,-20.12,"2 21","227 252",22,"68.18%","81.82%"
"433","Cluster_14532","FUN_014456",0.594939724198264,5.14880859693502e-05,"ptg000009l:364503-365503",156,-15,"2 19","111 132",17,"76.47%","82.35%"
"434","Cluster_14532","FUN_014452",0.621215392111932,1.89011461314399e-05,"ptg000009l:330514-331514",149,-10.38,"2 20","791 812",18,"72.22%","72.22%"
"435","Cluster_14532","FUN_014452",0.621215392111932,1.89011461314399e-05,"ptg000009l:330514-331514",153,-10.39,"2 22","836 858",20,"55.00%","80.00%"
"436","Cluster_1865","FUN_014477",0.594379998186645,5.25491318925856e-05,"ptg000009l:562961-563961",149,-10.02,"2 18","869 892",16,"62.50%","81.25%"
"437","Cluster_14532","FUN_014499",0.623446575587018,1.72862913403621e-05,"ptg000009l:674343-675343",169,-19.08,"2 20","533 557",20,"85.00%","85.00%"
"438","Cluster_17245","FUN_014499",0.555651072688611,0.000197595449088175,"ptg000009l:674343-675343",145,-10.7,"2 10","526 548",8,"100.00%","100.00%"
"439","Cluster_1865","FUN_014504",0.502297842666635,0.000957551613073198,"ptg000009l:745074-746074",151,-11,"2 21","932 956",20,"60.00%","80.00%"
"440","Cluster_2372","FUN_014536",0.558840906536665,0.000178265278789935,"ptg000009l:1029740-1030740",147,-11.86,"2 20","474 493",18,"72.22%","77.78%"
"441","Cluster_4752","FUN_014561",-0.539787262337569,0.000324757919114683,"ptg000009l:1175068-1176068",149,-18.25,"2 20","829 848",18,"66.67%","77.78%"
"442","Cluster_3301","FUN_014586",0.688561699274917,9.05315353157671e-07,"ptg000009l:1315161-1316161",168,-19.14,"2 17","255 277",15,"86.67%","93.33%"
"443","Cluster_14532","FUN_014586",0.722487574378302,1.4133152699638e-07,"ptg000009l:1315161-1316161",154,-13.56,"2 21","490 517",24,"66.67%","75.00%"
"444","Cluster_17623","FUN_014589",0.59439810241387,5.25145039641135e-05,"ptg000009l:1328937-1329937",152,-12.5,"2 21","612 633",19,"63.16%","73.68%"
"445","Cluster_4752","FUN_014621",-0.582669505565794,7.98357920976083e-05,"ptg000009l:1648347-1649347",168,-18.32,"2 19","890 909",17,"88.24%","88.24%"
"446","Cluster_4752","FUN_014603",-0.561072986407544,0.00016577150918368,"ptg000009l:1441219-1442219",146,-10.96,"2 20","300 321",19,"63.16%","73.68%"
"447","Cluster_14532","FUN_014603",0.552505324910109,0.000218488314703079,"ptg000009l:1441219-1442219",140,-15.87,"2 9","346 368",7,"100.00%","100.00%"
"448","Cluster_14532","FUN_014615",0.604953731553484,3.55127517554532e-05,"ptg000009l:1575269-1576269",158,-14.48,"2 22","630 652",21,"71.43%","80.95%"
"449","Cluster_1865","FUN_014617",0.559118348247911,0.000176667445560782,"ptg000009l:1595736-1596736",157,-16.32,"2 19","344 369",19,"73.68%","78.95%"
"450","Cluster_2372","FUN_014626",0.570754176325632,0.000120226252465127,"ptg000009l:1684420-1685420",150,-12.02,"2 20","111 133",19,"68.42%","73.68%"
"451","Cluster_5516","FUN_014657",0.561853860409837,0.000161590877304396,"ptg000009l:1871676-1872676",140,-12.86,"2 9","408 429",7,"100.00%","100.00%"
"452","Cluster_1819","FUN_014660",0.546370308527579,0.00026504604339407,"ptg000009l:1893319-1894319",153,-14.59,"2 19","604 627",19,"68.42%","78.95%"
"453","Cluster_14532","FUN_014660",0.745105709201838,3.50031965097932e-08,"ptg000009l:1893319-1894319",147,-12.36,"2 21","473 496",20,"65.00%","70.00%"
"454","Cluster_14610","FUN_014789",0.52019652738131,0.000580369823573244,"ptg000009l:3095995-3096995",153,-12.68,"2 16","264 285",14,"78.57%","92.86%"
"455","Cluster_14532","FUN_014740",0.544518797786881,0.000280752170893943,"ptg000009l:2635006-2636006",160,-12.85,"2 21","45 67",19,"68.42%","78.95%"
"456","Cluster_3301","FUN_014805",0.544564732625809,0.000280352608062375,"ptg000009l:3255162-3256162",150,-14.26,"2 22","581 601",20,"60.00%","80.00%"
"457","Cluster_2500","FUN_014813",0.502332159717235,0.000956657556640073,"ptg000009l:3342733-3343733",156,-12.1,"2 18","219 241",17,"76.47%","82.35%"
"458","Cluster_2372","FUN_014862",0.669594270911206,2.30350755931984e-06,"ptg000009l:3779003-3780003",155,-16.99,"2 21","516 542",24,"66.67%","70.83%"
"459","Cluster_14610","FUN_014862",0.634354270371615,1.10581758993541e-05,"ptg000009l:3779003-3780003",144,-13.67,"2 13","220 242",11,"81.82%","81.82%"
"460","Cluster_2372","FUN_014986",0.549553368446312,0.000239881777120467,"ptg000009l:5008839-5009599",147,-12.4,"2 17","672 694",16,"75.00%","75.00%"
"461","Cluster_14532","FUN_015038",0.698060547179772,5.52203290534478e-07,"ptg000009l:5546751-5547751",146,-11.08,"2 19","752 773",18,"72.22%","77.78%"
"462","Cluster_15097","FUN_015038",0.535558018480677,0.000369230320386555,"ptg000009l:5546751-5547751",148,-17.85,"2 20","68 92",22,"68.18%","72.73%"
"463","Cluster_4752","FUN_015051",0.570239286762518,0.000122328850245659,"ptg000009l:5642197-5643197",146,-10.48,"2 19","674 694",17,"58.82%","76.47%"
"464","Cluster_14532","FUN_015056",0.648424189365138,6.05479037274972e-06,"ptg000009l:5696241-5697241",164,-17.26,"2 22","565 589",22,"72.73%","77.27%"
"465","Cluster_14532","FUN_015058",0.565597431115738,0.000142839898738433,"ptg000009l:5704331-5705331",172,-19.48,"2 22","506 530",22,"72.73%","86.36%"
"466","Cluster_16354","FUN_015070",0.60134017117524,4.06651782259601e-05,"ptg000009l:5851351-5852351",160,-12.11,"2 20","750 770",18,"77.78%","83.33%"
"467","Cluster_17245","FUN_015070",0.509223808030426,0.000791447372013599,"ptg000009l:5851351-5852351",162,-15.67,"2 19","892 914",17,"76.47%","82.35%"
"468","Cluster_4752","FUN_015087",-0.526348806433668,0.000485468807436514,"ptg000009l:5982391-5983391",145,-11.75,"2 10","202 222",8,"100.00%","100.00%"
"469","Cluster_2372","FUN_015099",0.558741992996474,0.000178838082337709,"ptg000009l:6120660-6121660",156,-12.26,"2 19","1 17",17,"76.47%","82.35%"
"470","Cluster_2500","FUN_015116",0.516880496897098,0.000638110087372037,"ptg000009l:6512538-6513538",163,-12.86,"2 21","792 812",20,"85.00%","85.00%"
"471","Cluster_1865","FUN_015103",-0.579876080340895,8.80038944991086e-05,"ptg000009l:6183691-6184691",157,-18.15,"2 23","735 760",23,"65.22%","73.91%"
"472","Cluster_1865","FUN_015187",0.516303302477956,0.000648668248336039,"ptg000009l:7225702-7226702",164,-17.08,"2 23","659 684",23,"69.57%","82.61%"
"473","Cluster_4752","FUN_015154",0.539223592076376,0.000330393091704846,"ptg000009l:6848876-6849876",145,-13,"2 10","69 89",8,"100.00%","100.00%"
"474","Cluster_4752","FUN_015257",0.551843557725845,0.000223128926116599,"ptg000009l:7981708-7982708",154,-16.67,"2 19","826 846",17,"70.59%","76.47%"
"475","Cluster_4752","FUN_015263",-0.509420180832554,0.000787137448580499,"ptg000009l:8047726-8048726",146,-18.35,"2 20","518 536",19,"73.68%","73.68%"
"476","Cluster_14610","FUN_015284",0.550852860507914,0.000230242128292187,"ptg000009l:8454184-8454533",162,-16.07,"2 20","170 197",23,"73.91%","73.91%"
"477","Cluster_17245","FUN_015308",0.533903259971193,0.000388066821608513,"ptg000009l:8692425-8693425",156,-13.62,"2 17","936 958",15,"80.00%","80.00%"
"478","Cluster_16354","FUN_015344",-0.507768889665605,0.000824039447526606,"ptg000009l:9057771-9058771",157,-12.86,"2 19","871 895",19,"73.68%","78.95%"
"479","Cluster_4752","FUN_015366",-0.67477642118214,1.79677720254045e-06,"ptg000009l:9323720-9324720",162,-16.17,"2 15","88 108",13,"92.31%","92.31%"
"480","Cluster_2500","FUN_015452",0.531629341644535,0.000415355993977664,"ptg000009l:10357106-10358106",148,-10.01,"2 16","440 462",16,"81.25%","81.25%"
"481","Cluster_2372","FUN_015461",0.525112336957487,0.000503343085546694,"ptg000009l:10457722-10458722",148,-11.73,"2 15","557 577",13,"84.62%","84.62%"
"482","Cluster_5516","FUN_015487",0.546367887516708,0.000265066053805602,"ptg000009l:10815602-10816602",148,-13.61,"2 13","677 698",11,"81.82%","90.91%"
"483","Cluster_14532","FUN_015487",0.600014782381368,4.27194049978504e-05,"ptg000009l:10815602-10816602",148,-10.71,"2 20","289 312",20,"65.00%","80.00%"
"484","Cluster_1865","FUN_015674",0.595641857684072,5.01846296893374e-05,"ptg000009l:13823357-13824196",144,-11.11,"2 14","440 465",14,"78.57%","78.57%"
"485","Cluster_1865","FUN_015765",0.616409362062271,2.28574252284788e-05,"ptg000009l:15530589-15531589",154,-10.36,"2 23","815 838",21,"61.90%","71.43%"
"486","Cluster_2500","FUN_015765",0.577836407860448,9.44383880600264e-05,"ptg000009l:15530589-15531589",144,-11.73,"2 21","570 596",25,"68.00%","68.00%"
"487","Cluster_14532","FUN_015765",0.579003878921579,9.0705138830049e-05,"ptg000009l:15530589-15531589",162,-12.18,"2 21","430 451",19,"73.68%","84.21%"
"488","Cluster_17623","FUN_015741",0.601465427847822,4.0475768163433e-05,"ptg000009l:15109242-15110242",156,-16.91,"2 21","127 148",19,"68.42%","73.68%"
"489","Cluster_2372","FUN_015999",0.630605068623351,1.29184166163605e-05,"ptg000010l:318058-319058",151,-15.69,"2 20","445 466",18,"66.67%","72.22%"
"490","Cluster_3226","FUN_016051",0.510989003178559,0.000753448966460209,"ptg000010l:1058205-1059205",145,-15.83,"2 18","508 531",16,"62.50%","75.00%"
"491","Cluster_1865","FUN_016088",0.530509933749124,0.000429411185190851,"ptg000010l:1467924-1468924",145,-10.66,"2 14","315 338",12,"75.00%","83.33%"
"492","Cluster_4752","FUN_016069",0.533994893681244,0.00038700162929253,"ptg000010l:1271133-1272133",153,-12.02,"2 18","791 811",16,"68.75%","81.25%"
"493","Cluster_1865","FUN_016111",0.577426595594214,9.57814937120687e-05,"ptg000010l:1718393-1719393",140,-12.64,"2 9","249 272",7,"100.00%","100.00%"
"494","Cluster_14532","FUN_016111",0.551275059743785,0.00022718615225611,"ptg000010l:1718393-1719393",166,-11.22,"2 19","376 398",17,"82.35%","82.35%"
"495","Cluster_15097","FUN_016118",0.600053856970326,4.26575170762759e-05,"ptg000010l:1812667-1812971",152,-14.34,"2 13","248 269",11,"81.82%","100.00%"
"496","Cluster_1865","FUN_016135",0.50366434528699,0.00092251853789105,"ptg000010l:1983419-1983541",156,-17.15,"2 23","5 30",23,"65.22%","78.26%"
"497","Cluster_14532","FUN_016147",0.589494008350712,6.26905380846103e-05,"ptg000010l:2067720-2068720",152,-11.73,"2 21","452 474",19,"68.42%","68.42%"
"498","Cluster_14532","FUN_016163",0.602865206379177,3.84129997606805e-05,"ptg000010l:2284790-2285790",150,-11.72,"2 11","478 500",9,"100.00%","100.00%"
"499","Cluster_5516","FUN_016224",0.632598640724958,1.18963738361257e-05,"ptg000011l:561276-562276",148,-11.85,"2 15","325 345",13,"84.62%","84.62%"
"500","Cluster_9380","FUN_016234",0.532499160186938,0.000404720690891935,"ptg000011l:674584-675584",163,-19.17,"2 21","6 28",20,"75.00%","80.00%"
"501","Cluster_2746","FUN_016238",0.524344390403399,0.000514738524909074,"ptg000011l:742856-743856",147,-12.26,"2 12","518 540",10,"90.00%","90.00%"
"502","Cluster_1819","FUN_016271",0.5374290193837,0.000348923236075417,"ptg000011l:986103-987103",156,-15.6,"2 18","541 564",18,"77.78%","77.78%"
"503","Cluster_14532","FUN_016276",0.530129140123457,0.0004342885967671,"ptg000011l:1038691-1039691",157,-11.07,"2 14","82 104",12,"91.67%","91.67%"
"504","Cluster_14532","FUN_016314",0.538713921931835,0.000335563801419092,"ptg000011l:1501879-1502879",159,-12.69,"2 19","605 625",17,"82.35%","82.35%"
"505","Cluster_14532","FUN_016317",0.565121411832524,0.000145109768460682,"ptg000011l:1546589-1547589",152,-13.45,"2 19","211 232",17,"70.59%","82.35%"
"506","Cluster_14532","FUN_016317",0.565121411832524,0.000145109768460682,"ptg000011l:1546589-1547589",160,-11.77,"2 17","224 246",15,"80.00%","86.67%"
"507","Cluster_1950","FUN_016336",0.508948482489249,0.00079752550215197,"ptg000011l:1788013-1789013",158,-10.63,"2 21","96 116",19,"68.42%","84.21%"
"508","Cluster_14532","FUN_016339",0.54420944902953,0.00028345638859655,"ptg000011l:1841631-1842631",166,-15.86,"2 15","122 144",13,"92.31%","100.00%"
"509","Cluster_5516","FUN_016340",0.552316077220468,0.000219806449570811,"ptg000011l:1842089-1843089",147,-13.59,"2 16","375 396",14,"71.43%","78.57%"
"510","Cluster_14605","FUN_016340",0.524805219068695,0.000507873003580411,"ptg000011l:1842089-1843089",145,-12.61,"2 10","169 190",8,"100.00%","100.00%"
"511","Cluster_4752","FUN_016343",-0.559222038126767,0.000176073601985506,"ptg000011l:1889539-1890539",157,-10.03,"2 19","107 129",19,"73.68%","78.95%"
"512","Cluster_14532","FUN_016370",0.519712666831234,0.00058849308393758,"ptg000011l:2360833-2361833",165,-19.7,"2 22","238 260",20,"70.00%","80.00%"
"513","Cluster_4752","FUN_016384",-0.57426180152324,0.000106750611939172,"ptg000011l:2523830-2524830",141,-11.22,"2 20","899 918",18,"61.11%","72.22%"
"514","Cluster_4752","FUN_016409",-0.614987299326884,2.41651655455973e-05,"ptg000011l:2801294-2802294",140,-10.43,"2 9","693 713",7,"100.00%","100.00%"
"515","Cluster_1865","FUN_016415",0.503751890444338,0.000920313479617628,"ptg000011l:2829234-2830234",153,-12.61,"2 16","356 381",16,"81.25%","87.50%"
"516","Cluster_14532","FUN_016431",0.556319283963098,0.000193396434424562,"ptg000011l:2974447-2975447",143,-11.57,"2 21","613 632",19,"68.42%","73.68%"
"517","Cluster_14532","FUN_016431",0.556319283963098,0.000193396434424562,"ptg000011l:2974447-2975447",167,-13.68,"2 20","341 363",18,"72.22%","88.89%"
"518","Cluster_14532","FUN_016431",0.556319283963098,0.000193396434424562,"ptg000011l:2974447-2975447",170,-11.38,"2 19","410 432",17,"76.47%","94.12%"
"519","Cluster_17245","FUN_016441",0.629784199719538,1.33621196445594e-05,"ptg000011l:3120877-3121877",143,-10.28,"2 17","86 109",16,"68.75%","75.00%"
"520","Cluster_1865","FUN_016507",0.703357801285954,4.15685554524642e-07,"ptg000011l:4180742-4181742",153,-13.05,"2 14","939 962",12,"83.33%","91.67%"
